low,relvolume,high,symbol,price,percentchange,open,watchers,hourchange,sentiment
113.01,0.5323,114.28,EA,113.52,0.15,113.01,20731,0,33.33
6.87,0.3366,7.81,CVNA,7.07,-7.5817,7.43,23279,0,-2.03
92.9,1.5349,96.94,AMD,96.81,-1.0527,96.3,455939,2,-0.7
95.7,0.7742,98.48,AMZN,97.71,-1.2532,98.41,586770,6,0.69
269.85,1.2161,277.48,MSFT,272.23,-2.5767,276.98,441943,2,0.02
126.01,1.609,129.46,JPM,127.14,1.0571,126.99,82210,5,0.55
4.14,0.4546,4.38,AMC,4.27,2.1531,4.25,411730,4,-0.45
176.35,0.6925,186.44,TSLA,183.25,1.7321,178.08,888860,2,-0.26
445.36,0.4475,452.2,NOC,449.26,1.2759,445.27,8003,0,8.33
99.88,0.7301,101.75,GOOGL,101.22,-0.3936,100.12,159585,3,-0.62
87.33,1.1668,89.16,SONY,88.42,2.196,87.52,2079,0,0.0
185.2,1.1646,196.88,ENPH,192.51,4.8301,189.59,37213,4,1.7
154.15,0.8489,157.81,AAPL,157.4,1.5484,155.07,876035,8,0.22
28.63,0.7742,29.9,INTC,29.16,-2.1805,29.8,130826,2,-1.51
124.19,0.7973,126.1508,IBM,125.94,1.8191,124.31,51327,0,1.06
251.3,0.819,260.24,NVDA,259.0,0.6803,256.15,419434,4,0.7
193.64,0.723,199.36,META,197.81,1.1247,198.48,511744,8,1.5
5.19,0.8466,5.54,SOFI,5.22,-4.3956,5.47,91592,3,1.11
