high,symbol,relvolume,price,open,low,percentchange,watchers,hourchange,sentiment
125.8,EA,0.3892,125.62,124.79,123.74,0.3675,20703,0,4.44
32.76,INTC,0.4854,32.52,32.6,32.2,-0.8839,131212,1,-1.27
131.08,IBM,0.3796,131.03,129.83,129.24,0.4061,51364,0,-1.29
185.0994,TSLA,0.8207,184.51,179.94,176.11,-0.2972,891045,2,-0.17
9.35,CVNA,0.3262,9.31,9.0,8.62,3.3296,23315,0,3.53
289.6,MSFT,0.6369,289.39,289.208,284.72,-0.7579,443170,6,-1.93
102.2,AMZN,0.5167,102.17,100.96,99.57,0.1078,588100,2,-0.86
195.9,ENPH,0.4136,195.8,189.09,188.51,2.5131,37407,0,-1.76
5.37,AMC,1.2692,5.24,4.77,4.74,6.9388,413136,-2,0.88
478.17,NOC,0.4565,476.54,470.98,470.98,1.3074,8041,0,-16.67
95.79,AMD,0.7903,95.48,91.32,91.02,3.2551,456699,3,9.14
5.92,SOFI,0.5343,5.91,5.69,5.66,2.7826,91909,2,1.07
276.2099,NVDA,0.7128,275.79,268.23,266.69,2.0047,421311,-5,2.19
128.23,JPM,0.5624,127.89,126.54,126.22,0.3295,82595,4,-2.49
107.59,GOOGL,0.6059,106.44,106.98,105.12,-1.8262,160301,2,0.22
162.03,AAPL,0.6369,162.03,161.42,160.08,-1.5972,877529,0,-4.02
88.52,SONY,0.4657,88.51,87.76,87.73,0.3856,2088,0,0.0
215.66,META,0.4571,214.75,214.71,210.66,-0.6247,512691,1,-1.4
