low,relvolume,high,open,symbol,percentchange,price,watchers,hourchange,sentiment
457.495,0.2795,462.27,459.38,NOC,-0.0545,458.75,8021,0,25.0
278.41,0.5028,280.79,278.96,MSFT,1.9968,280.7257,442530,0,-1.71
265.97,0.6267,270.6697,268.25,NVDA,2.2938,270.158,420470,0,-1.37
202.54,0.4312,205.39,203.56,META,2.2922,205.28,512243,1,0.12
191.385,0.683,205.77,196.75,ENPH,5.6067,204.37,37308,1,-0.62
189.44,0.6267,195.28,193.13,TSLA,2.1618,193.28,889638,9,0.48
159.35,0.5257,160.9,159.37,AAPL,2.027,160.8456,876718,11,-0.3
129.18,0.3825,130.348,130.12,IBM,0.4407,129.91,51343,-1,0.76
127.77,0.8182,130.22,130.1,JPM,0.2871,129.25,82460,1,-0.93
118.08,0.2923,119.325,118.08,EA,0.9998,119.2,20708,-1,0.0
100.655,0.5302,102.43,102.28,GOOGL,0.3613,101.395,159836,0,4.31
98.5801,0.5527,100.34,98.69,AMZN,3.0749,100.23,587352,2,1.22
94.87,0.7409,96.91,96.07,AMD,2.2753,96.7115,456332,0,-0.21
86.74,0.8786,87.93,86.93,SONY,2.4412,87.915,2084,0,0.0
29.789,1.3798,31.89,29.77,INTC,8.211,31.695,130911,8,7.05
7.37,0.2015,7.818,7.47,CVNA,6.1141,7.81,23365,1,-7.63
5.65,0.6089,5.9199,5.69,SOFI,3.8462,5.805,91762,2,-1.08
4.83,0.7127,5.2084,5.14,AMC,-3.2039,4.985,412480,-5,-0.59
