low,relvolume,symbol,high,open,price,percentchange,watchers,hourchange,sentiment
127.45,0.4028,EA,128.53,127.98,127.87,-0.3196,20705,0,10.0
90.412,0.8867,SONY,91.46,90.85,90.86,0.4089,2088,0,0.0
204.67,0.6939,ENPH,214.57,209.77,208.9,-0.3767,37423,0,-3.47
182.01,0.5598,TSLA,186.28,183.95,185.0,-0.4841,891427,4,0.27
31.69,0.4201,INTC,32.235,32.0,31.89,-0.747,131240,1,-2.29
5.77,0.6398,SOFI,6.03,5.99,5.92,1.0239,91899,-4,-0.49
4.9,0.9005,AMC,5.75,5.74,5.12,-6.2271,413214,-3,-0.31
90.5,0.5911,AMD,92.97,91.82,91.75,-0.3692,456768,3,-0.01
283.69,0.5743,MSFT,288.48,287.0,286.14,-1.2766,443396,2,-0.68
262.2,0.7461,NVDA,268.83,265.04,267.58,1.1148,421590,4,-1.09
468.765,0.3372,NOC,473.09,470.55,472.57,-0.3353,8041,0,13.33
8.68,0.3345,CVNA,9.798,9.47,8.97,-4.2689,23328,-2,-1.25
217.56,0.6378,META,222.11,217.88,221.49,0.5174,512850,14,0.74
127.31,0.6373,IBM,129.84,128.46,128.14,0.1876,51370,0,-6.94
101.11,0.7199,AMZN,103.2013,102.07,102.51,0.1074,588468,1,0.4
134.9001,3.0765,JPM,139.12,135.15,138.73,7.551,82930,8,6.88
106.88,0.566,GOOGL,108.935,106.89,108.87,1.3404,160404,1,-2.01
163.83,0.6406,AAPL,166.32,164.59,165.21,-0.2114,877852,4,1.29
