percentchange,low,price,relvolume,open,high,symbol,watchers,hourchange,sentiment
1.7046,126.58,128.28,0.4634,126.58,128.72,EA,20702,-1,6.67
2.2399,283.17,289.84,0.602,283.59,289.9,MSFT,443355,1,1.18
0.3813,126.84,128.99,0.7779,128.46,129.035,JPM,82731,7,5.81
0.294,469.78,474.16,0.3826,472.0,476.065,NOC,8039,1,-16.67
1.4069,9.201,9.37,0.3162,9.27,9.76,CVNA,23339,1,1.75
0.6873,5.825,5.86,0.5437,5.91,5.98,SOFI,91912,0,2.23
0.3435,31.65,32.13,0.474,31.82,32.4252,INTC,131232,-1,5.8
2.6663,105.9,107.43,0.5101,105.84,107.49,GOOGL,160362,4,-1.99
1.174,90.0,90.49,0.7734,90.1,90.83,SONY,2088,0,0.0
2.9689,180.94,185.9,0.6485,182.955,186.5,TSLA,891319,3,1.13
2.9673,215.82,220.35,0.6771,215.73,221.15,META,512800,3,2.1
-0.2599,91.83,92.09,0.6105,92.79,93.16,AMD,456763,0,0.79
6.9683,198.52,209.69,0.9909,200.01,211.55,ENPH,37425,2,-4.82
-0.1208,263.29,264.63,0.6485,267.34,268.869,NVDA,421515,0,-2.67
2.2472,5.39,5.46,0.5092,5.48,5.66,AMC,413222,3,-3.08
3.4104,161.44,165.56,0.8567,161.63,165.8,AAPL,877758,6,4.18
-0.4979,126.01,127.9,0.8901,128.01,128.39,IBM,51366,1,6.94
4.6714,98.73,102.4,0.9312,98.95,102.56,AMZN,588382,4,4.54
