open,percentchange,relvolume,symbol,price,high,low,watchers,hourchange,sentiment
470.55,-0.6664,0.2622,NOC,471.0,471.98,468.94,8041,0,8.57
287.0,-1.4232,0.5028,MSFT,285.715,288.48,283.69,443392,1,-0.01
265.04,0.7709,0.6836,NVDA,266.67,268.83,262.2,421584,12,-3.3
217.88,0.3676,0.5893,META,221.16,222.11,217.56,512835,3,-0.44
209.77,-0.453,0.6174,ENPH,208.74,214.57,204.67,37423,-1,-5.1
183.95,-0.6563,0.5171,TSLA,184.68,186.28,182.01,891413,4,-0.45
164.59,-0.3745,0.5707,AAPL,164.94,166.32,163.83,877851,4,1.19
135.15,7.2913,2.7894,JPM,138.395,139.12,134.95,82923,-17,9.41
127.98,-0.3586,0.3223,EA,127.82,128.53,127.45,20705,-1,16.67
128.46,-0.2033,0.5058,IBM,127.64,129.84,127.31,51369,0,1.0
106.89,1.1868,0.4794,GOOGL,108.705,108.86,106.88,160403,2,-1.79
102.07,-0.0879,0.6307,AMZN,102.31,103.2013,101.11,588466,0,-0.05
91.82,-0.5484,0.5381,AMD,91.585,92.97,90.5,456770,2,-0.52
90.85,0.5028,0.6087,SONY,90.945,91.44,90.412,2088,0,0.0
32.0,-0.7937,0.3555,INTC,31.875,32.235,31.69,131239,2,-2.0
9.47,-4.0555,0.3039,CVNA,8.99,9.798,8.68,23330,-2,-1.34
5.99,0.256,0.5831,SOFI,5.875,6.03,5.77,91913,-1,-0.28
5.74,-7.1429,0.7864,AMC,5.07,5.75,4.9,413220,-6,-0.28
