high,percentchange,price,relvolume,symbol,low,open,watchers,hourchange,sentiment
220.44,-0.4432,217.89,0.3488,META,216.215,219.91,512939,-1,-0.63
141.775,1.1228,141.4,0.8356,JPM,139.03,140.27,82991,3,-0.05
291.6,-0.1489,288.37,0.5165,MSFT,287.02,291.57,443612,8,3.43
129.38,0.7495,129.04,0.5166,EA,127.82,128.81,20704,-1,0.0
104.2,-0.4283,102.3,0.555,AMZN,101.52,103.95,588649,2,0.89
483.4,0.9857,479.47,0.6483,NOC,475.74,475.74,8043,1,-12.5
231.31,1.3116,227.87,0.8254,ENPH,222.23,225.43,37487,-2,-1.75
128.68,-0.0313,127.78,0.4769,IBM,127.35,128.14,51381,1,-1.02
6.02,0.3356,5.98,0.4567,SOFI,5.895,6.0,91914,0,-0.8
91.86,0.1755,91.31,0.8545,SONY,90.99,91.57,2086,0,0.0
281.0802,2.4628,276.67,1.1798,NVDA,273.57,275.335,421847,6,-0.55
92.16,-0.1001,89.78,0.6994,AMD,89.33,91.61,456869,2,1.54
5.23,-2.8846,5.05,0.3403,AMC,4.98,5.23,413186,2,-2.37
32.46,-0.9645,31.83,0.4755,INTC,31.785,32.43,131272,-5,2.27
167.41,0.7505,166.47,0.6295,AAPL,165.65,166.1,878083,1,3.21
106.515,-1.3872,104.5,0.5757,GOOGL,104.07,106.49,160548,-2,-1.3
187.69,-1.4596,184.31,0.5393,TSLA,183.5887,187.15,891778,5,-0.77
9.285,-2.8698,8.8,0.2683,CVNA,8.76,9.22,23302,1,-3.04
