open,relvolume,symbol,percentchange,high,price,low,watchers,hourchange,sentiment
284.79,0.7301,MSFT,0.2334,287.01,283.49,281.96,443296,-1,-1.09
126.28,0.4105,EA,0.3581,127.1812,126.13,125.82,20703,1,-16.67
161.22,0.6508,AAPL,-0.4353,162.06,160.1,159.78,877684,0,0.56
94.97,0.8136,AMD,-1.8079,94.995,92.33,91.74,456747,-3,5.51
5.62,0.827,AMC,-1.6575,5.74,5.34,5.34,413218,0,0.29
9.79,0.5844,CVNA,-5.3279,10.32,9.24,8.79,23329,0,6.11
90.0,0.4882,SONY,0.5961,90.4,89.44,89.29,2089,0,0.0
129.18,0.66,JPM,-0.0156,130.43,128.5,128.0603,82624,4,-2.61
190.74,0.8639,TSLA,-3.346,191.58,180.54,180.31,891227,6,-0.51
214.835,0.5478,META,0.0701,216.84,214.0,212.584,512766,4,-1.62
273.7,0.8408,NVDA,-2.4808,274.63,264.95,264.4786,421444,11,-0.08
100.4,0.7773,AMZN,-2.0917,100.51,97.83,97.705,588273,5,-0.7
199.9,0.4414,ENPH,-0.4317,201.26,196.03,195.81,37410,1,2.18
106.58,0.5099,GOOGL,-0.6739,106.75,104.64,104.34,160344,1,0.05
32.77,0.5877,INTC,-1.0201,32.89,32.02,31.96,131233,0,-6.94
130.4,0.6074,IBM,-1.4415,130.87,128.54,128.18,51369,1,-2.42
467.43,0.4255,NOC,0.961,474.7299,472.77,466.03,8038,0,3.33
6.06,0.9555,SOFI,-2.5126,6.05,5.82,5.67,91916,-1,-0.54
