high,percentchange,open,symbol,low,price,relvolume,watchers,hourchange,sentiment
471.7399,-0.1066,468.73,NOC,465.19,468.69,0.3465,8033,-1,0.0
290.4499,-0.3168,287.23,MSFT,285.67,286.32,0.6301,442890,2,1.1
280.0,-2.1297,279.66,NVDA,273.08,273.6942,0.6531,420925,4,2.36
216.24,0.4271,213.39,META,212.54,213.98,0.5464,512513,1,6.34
203.2,-0.5627,202.89,ENPH,198.65,201.46,0.4278,37367,0,0.56
198.7446,-1.6737,197.32,TSLA,190.32,191.5101,0.6867,890486,7,1.04
166.83,-0.5956,166.595,AAPL,165.11,165.1803,0.5103,877181,2,2.67
132.13,-0.4695,131.99,IBM,130.9,131.44,0.4542,51355,0,0.0
130.57,-1.5865,130.5,JPM,127.41,128.095,0.646,82529,1,5.41
125.47,3.082,121.43,EA,121.23,125.09,0.9716,20707,0,0.0
105.58,-0.0575,104.33,GOOGL,104.04,104.3,0.4718,160040,0,4.12
104.2,1.2938,102.75,AMZN,102.11,103.735,0.5727,587776,2,1.72
97.27,-1.1703,97.038,AMD,95.21,95.43,0.6081,456541,7,-1.12
91.145,-0.5803,90.78,SONY,90.36,90.8,0.8288,2087,0,0.0
33.84,0.0152,32.85,INTC,32.85,32.895,0.9779,131182,3,2.71
9.72,1.2379,9.44,CVNA,8.93,9.405,0.3251,23344,0,-2.29
6.095,-2.3217,6.1,SOFI,5.835,5.89,0.4392,91854,-1,-0.39
4.45,-23.9726,4.08,AMC,3.88,3.885,2.3693,412833,5,-4.8
