relvolume,price,open,symbol,low,high,percentchange,watchers,hourchange,sentiment
1.4198,32.09,31.85,INTC,31.81,32.58,1.8084,131050,-1,6.04
0.6344,5.72,5.87,SOFI,5.62,5.93,-0.5217,91769,0,-1.27
0.6777,102.0,101.55,AMZN,101.01,103.04,1.7456,587434,-2,4.47
0.8812,97.88,98.0,AMD,97.25,99.53,1.8628,456365,1,-2.53
0.3938,460.98,460.46,NOC,458.5,462.92,-0.1278,8023,0,0.0
0.5487,129.22,130.16,IBM,129.1,131.48,-0.3778,51345,-3,8.71
0.5217,119.1,120.0,EA,118.85,120.05,-0.0755,20710,0,5.56
0.6092,195.28,195.58,TSLA,194.42,197.328,0.7221,889745,9,4.92
0.5721,8.83,8.08,CVNA,8.0748,9.0,12.1982,23367,3,-5.48
1.4544,89.31,88.7,SONY,88.555,89.53,1.6388,2082,0,0.0
0.6652,273.83,272.29,NVDA,271.02,274.99,1.4787,420569,3,4.04
0.5325,4.97,5.11,AMC,4.865,5.16,-0.6,412476,-4,0.76
0.6427,284.05,284.23,MSFT,281.5,284.46,1.262,442596,0,0.56
0.5827,162.36,161.53,AAPL,161.271,162.47,0.989,876782,0,4.8
0.6432,207.84,203.38,META,202.85,208.09,1.2126,512302,8,7.1
0.6629,205.27,209.435,ENPH,203.96,214.19,0.6472,37321,0,-2.07
0.7826,128.75,129.95,JPM,127.65,130.12,-0.302,82477,3,1.17
0.6807,100.89,100.91,GOOGL,99.78,101.155,-0.4931,159881,0,3.5
