price,percentchange,low,symbol,open,relvolume,high,watchers,hourchange,sentiment
468.155,-1.7596,467.97,NOC,476.12,0.4328,476.01,8039,0,5.0
282.53,-2.3705,281.64,MSFT,285.75,0.7104,285.87,443222,11,-2.01
272.28,-1.2727,271.26,NVDA,277.235,0.5335,277.89,421358,5,-0.42
213.92,-0.3865,213.83,META,215.48,0.4394,216.02,512716,1,-2.07
196.92,0.572,193.14,ENPH,195.9,0.3281,199.04,37408,-2,-0.86
186.9282,1.3106,185.65,TSLA,186.69,0.6466,189.19,891122,8,-0.07
160.8,-0.7591,160.51,AAPL,162.35,0.5606,162.36,877578,5,-4.72
130.61,-0.3205,130.18,IBM,130.58,0.4136,131.1,51365,1,0.0
128.66,0.6021,127.54,JPM,128.3,0.585,128.935,82602,0,0.17
125.71,0.0716,124.74,EA,125.13,0.3722,126.25,20704,0,-1.14
105.41,-0.9677,104.68,GOOGL,106.55,0.5389,106.73,160315,2,-0.08
100.085,-2.0407,99.01,AMZN,100.8,0.7791,100.99,588161,7,-5.29
93.99,-1.5605,92.7,AMD,96.06,0.7583,96.065,456714,0,3.47
88.91,0.4519,88.91,SONY,89.24,0.4513,89.48,2089,0,0.0
32.425,-0.2921,32.41,INTC,32.66,0.4153,33.11,131221,-2,-10.6
9.845,5.7465,9.6,CVNA,9.79,0.7647,10.8485,23334,2,13.41
5.95,0.6768,5.86,SOFI,5.91,0.6326,6.02,91914,0,2.29
5.4712,4.4122,5.25,AMC,5.45,0.8608,5.63,413160,4,4.39
