price,low,relvolume,symbol,high,open,percentchange,watchers,hourchange,sentiment
96.81,92.9,1.5349,AMD,96.94,96.3,-1.0527,455937,-2,-0.78
7.07,6.87,0.3366,CVNA,7.82,7.43,-7.5817,23279,0,-1.45
97.71,95.7,0.7742,AMZN,98.48,98.41,-1.2532,586757,1,0.97
127.14,126.01,1.609,JPM,129.47,126.99,1.0571,82211,5,0.42
449.26,445.005,0.4475,NOC,452.31,445.27,1.2759,8003,1,9.09
4.27,4.14,0.4546,AMC,4.38,4.25,2.1531,411725,-8,-0.53
183.25,176.35,0.6925,TSLA,186.44,178.08,1.7321,888857,-1,-0.29
101.22,99.88,0.7301,GOOGL,101.75,100.12,-0.3936,159582,0,-0.42
88.42,87.33,1.1668,SONY,89.16,87.52,2.196,2079,0,0.0
157.4,154.15,0.8489,AAPL,157.81,155.07,1.5484,876025,7,-0.31
192.51,185.2,1.1646,ENPH,196.88,189.59,4.8301,37209,3,1.18
29.16,28.63,0.7742,INTC,29.9,29.8,-2.1805,130821,0,-0.56
125.94,124.19,0.7973,IBM,126.1508,124.31,1.8191,51327,2,1.06
5.22,5.19,0.8466,SOFI,5.54,5.47,-4.3956,91578,-4,1.06
113.52,113.01,0.5323,EA,114.28,113.01,0.15,20730,0,33.33
259.0,251.3,0.819,NVDA,260.24,256.15,0.6803,419428,4,1.0
197.81,193.64,0.723,META,199.36,198.48,1.1247,511733,-2,0.68
272.23,269.85,1.2161,MSFT,277.48,276.98,-2.5767,441940,4,0.1
