price,high,open,symbol,low,relvolume,percentchange,watchers,hourchange,sentiment
4.97,5.16,5.11,AMC,4.865,0.5325,-0.6,412468,-3,0.69
162.36,162.47,161.53,AAPL,161.271,0.5827,0.989,876774,1,4.72
284.05,284.46,284.23,MSFT,281.5,0.6427,1.262,442606,1,-0.14
207.84,208.09,203.38,META,202.85,0.6432,1.2126,512303,-3,5.8
205.27,214.19,209.435,ENPH,203.96,0.6629,0.6472,37321,1,-2.39
128.75,130.12,129.95,JPM,127.65,0.7826,-0.302,82477,0,1.48
100.89,101.155,100.91,GOOGL,99.78,0.6807,-0.4931,159894,0,2.76
5.72,5.93,5.87,SOFI,5.62,0.6344,-0.5217,91771,1,-1.7
32.09,32.58,31.85,INTC,31.81,1.4198,1.8084,131059,0,3.85
102.0,103.04,101.55,AMZN,101.01,0.6777,1.7456,587428,0,2.88
97.88,99.53,98.0,AMD,97.25,0.8812,1.8628,456364,0,-2.46
460.98,462.92,460.46,NOC,458.5,0.3938,-0.1278,8023,0,0.0
129.22,131.48,130.16,IBM,129.1,0.5487,-0.3778,51343,0,6.76
119.1,120.05,120.0,EA,118.85,0.5217,-0.0755,20710,0,5.56
8.83,9.0,8.08,CVNA,8.0748,0.5721,12.1982,23362,0,-4.44
195.28,197.328,195.58,TSLA,194.42,0.6092,0.7221,889764,9,4.2
273.83,274.99,272.29,NVDA,271.02,0.6652,1.4787,420573,0,2.08
89.31,89.53,88.7,SONY,88.555,1.4544,1.6388,2082,0,0.0
