high,low,relvolume,open,price,percentchange,symbol,watchers,hourchange,sentiment
5.3,5.1301,0.3666,5.24,5.2,1.5625,AMC,413214,3,-1.29
90.69,88.3,0.7217,90.23,89.87,-2.049,AMD,456850,1,-2.83
220.979,217.13,0.4402,219.79,218.86,-1.1874,META,512925,0,0.24
140.06,137.66,1.0164,139.95,139.83,0.7929,JPM,82975,2,0.68
6.0,5.81,0.6655,5.89,5.96,0.6757,SOFI,91920,1,0.18
165.39,164.03,0.5412,165.09,165.23,0.0121,AAPL,878010,0,2.35
128.72,126.8,0.5124,128.3,127.82,-0.2497,IBM,51378,0,-5.04
189.69,182.7,0.6825,186.32,187.04,1.1027,TSLA,891666,10,0.17
106.155,104.52,0.816,104.658,105.97,-2.6637,GOOGL,160532,8,-12.05
477.68,471.38,0.4391,472.99,474.79,0.4698,NOC,8041,0,3.57
32.64,31.77,0.5168,31.95,32.14,0.7839,INTC,131274,3,3.25
91.23,90.35,0.9083,90.55,91.15,0.3192,SONY,2088,0,0.0
291.58,286.2,0.6118,289.93,288.8,0.9296,MSFT,443554,0,2.72
103.73,101.59,0.5299,103.16,102.74,0.2244,AMZN,588613,4,-0.44
128.42,127.14,0.4493,127.37,128.08,0.1642,EA,20706,0,-10.0
229.23,214.7801,1.7249,215.0,224.92,7.6687,ENPH,37476,0,3.52
270.06,264.36,0.5878,265.655,270.02,0.9119,NVDA,421737,-1,-1.24
9.2192,8.68,0.273,8.91,9.06,1.0033,CVNA,23311,1,-0.87
