low,open,relvolume,price,percentchange,symbol,high,watchers,hourchange,sentiment
124.85,125.24,0.7325,126.15,0.7266,EA,126.27,20706,0,10.71
100.7506,103.91,0.5813,101.1,-2.7417,AMZN,103.91,587878,6,-0.79
161.8,164.74,0.6702,163.76,-1.129,AAPL,165.05,877257,0,-9.17
91.36,94.35,0.7872,92.56,-3.4526,AMD,94.5,456578,-1,-1.57
467.22,467.22,0.5536,470.91,0.6003,NOC,473.6,8036,0,0.0
8.39,9.38,0.3189,8.5,-10.5263,CVNA,9.38,23329,-2,-1.66
263.95,268.29,0.9568,268.81,-2.0836,NVDA,269.98,421060,3,-3.56
209.95,214.15,0.5446,211.48,-1.5089,META,215.19,512552,7,-4.45
3.94,4.07,0.7224,4.05,3.5806,AMC,4.09,412892,5,-0.71
282.95,285.85,0.5843,284.34,-0.9889,MSFT,287.145,442949,4,-4.17
126.46,126.8,0.609,127.61,0.1491,JPM,128.15,82525,0,-0.04
183.76,190.515,0.7518,185.52,-3.666,TSLA,190.68,890624,7,-1.42
89.5312,89.9,0.7198,89.65,-1.4943,SONY,90.02,2087,0,0.0
131.37,131.37,0.4187,132.14,0.4103,IBM,132.61,51366,0,0.0
5.5801,5.87,0.786,5.74,-2.5467,SOFI,5.87,91874,2,0.48
103.66,105.78,0.6109,104.47,-0.2387,GOOGL,106.1,160105,2,-0.01
32.335,32.795,0.7132,32.83,-0.8157,INTC,32.985,131189,-1,-1.85
187.73,200.0,0.8384,193.67,-4.3794,ENPH,201.62,37381,0,0.52
