price,low,relvolume,symbol,open,percentchange,high,watchers,hourchange,sentiment
442.0699,441.305,0.5904,NOC,449.81,-1.795,451.41,7996,0,1.39
277.65,276.3201,1.4836,MSFT,278.26,0.525,283.33,441712,7,2.54
258.25,256.68,1.1645,NVDA,259.82,1.1119,263.99,419156,8,5.37
196.49,196.2,0.835,META,200.56,-4.1185,201.9,511588,-1,1.32
183.57,181.55,1.3797,ENPH,200.7,-8.7171,200.7,37072,17,-3.95
179.28,177.33,0.5704,TSLA,184.515,-2.634,186.21,888606,3,3.31
154.92,154.28,0.8139,AAPL,156.08,-0.5967,156.74,875776,2,5.56
125.8,125.58,1.6469,JPM,128.38,-3.7859,128.45,82020,5,5.95
123.185,122.935,1.2658,IBM,124.08,-1.2149,124.2,51323,0,7.41
113.15,112.98,0.5503,EA,113.65,-0.3347,114.0,20736,0,0.0
101.14,100.1,1.0195,GOOGL,100.26,0.8174,102.835,159499,3,2.66
98.52,97.455,0.7357,AMZN,99.79,-1.5194,100.65,586531,6,2.4
96.395,95.94,1.2152,AMD,96.66,-0.2122,98.75,455809,4,2.76
86.595,86.19,0.6777,SONY,87.25,0.2373,87.445,2077,0,33.33
29.49,29.44,0.8013,INTC,29.92,-2.2863,30.56,130791,0,-1.33
7.69,7.02,0.3458,CVNA,7.21,3.7787,7.9,23309,8,1.11
5.415,5.33,0.4475,SOFI,5.47,-0.6422,5.5,91540,-1,2.93
4.255,4.108,0.5027,AMC,4.3,-3.0752,4.34,411727,-2,0.17
