symbol,relvolume,low,price,percentchange,open,high,watchers,hourchange,sentiment
AMZN,0.6207,98.5801,100.25,3.0954,98.69,100.4218,587352,2,1.22
META,0.5083,202.54,205.35,2.3271,203.56,205.72,512243,1,0.12
JPM,0.9598,127.77,129.14,0.2017,130.1,130.22,82460,1,-0.93
SOFI,0.7071,5.65,5.75,2.8623,5.69,5.9199,91762,2,-1.08
GOOGL,0.6183,100.655,101.39,0.3563,102.28,102.43,159836,0,4.31
AMC,0.765,4.83,5.0,-2.9126,5.14,5.2084,412480,-5,-0.59
ENPH,0.7832,191.385,203.95,5.3896,196.75,205.77,37308,1,-0.62
NVDA,0.7093,265.97,269.84,2.1734,268.25,270.77,420470,0,-1.37
SONY,1.1442,86.74,87.87,2.3887,86.93,88.02,2084,0,0.0
AMD,0.8339,94.87,96.09,1.618,96.07,96.91,456332,0,-0.21
INTC,1.6683,29.789,31.52,7.6135,29.77,31.89,130911,8,7.05
TSLA,0.674,189.44,193.88,2.479,193.13,195.28,889638,9,0.48
CVNA,0.2295,7.37,7.87,6.9293,7.47,7.9,23365,1,-7.63
EA,0.4098,118.08,119.19,0.9914,118.08,119.325,20708,-1,0.0
MSFT,0.5914,278.41,280.51,1.9184,278.96,281.1398,442530,0,-1.71
IBM,0.4977,129.18,129.71,0.2861,130.12,130.348,51343,-1,0.76
AAPL,0.6109,159.35,160.77,1.9791,159.37,161.04,876718,11,-0.3
NOC,0.4154,457.495,461.57,0.5599,459.38,462.58,8021,0,25.0
