percentchange,high,price,symbol,relvolume,low,open,watchers,hourchange,sentiment
-0.2387,106.1,104.47,GOOGL,0.6109,103.66,105.78,160103,0,-0.18
-2.5467,5.87,5.74,SOFI,0.786,5.5801,5.87,91872,4,0.68
-0.8157,32.985,32.83,INTC,0.7132,32.335,32.795,131190,0,-1.83
-4.3794,201.62,193.67,ENPH,0.8384,187.73,200.0,37381,1,0.45
-2.7417,103.91,101.1,AMZN,0.5813,100.7506,103.91,587872,4,-0.95
0.7266,126.27,126.15,EA,0.7325,124.85,125.24,20706,0,10.71
-1.129,165.05,163.76,AAPL,0.6702,161.8,164.74,877257,4,-9.16
-10.5263,9.38,8.5,CVNA,0.3189,8.39,9.38,23331,1,-1.66
-3.4526,94.5,92.56,AMD,0.7872,91.36,94.35,456579,0,-1.55
0.6003,473.6,470.91,NOC,0.5536,467.22,467.22,8036,0,0.0
0.1491,128.15,127.61,JPM,0.609,126.46,126.8,82525,0,0.35
3.5806,4.09,4.05,AMC,0.7224,3.94,4.07,412887,4,-0.73
-0.9889,287.145,284.34,MSFT,0.5843,282.95,285.85,442945,-1,-4.56
-1.5089,215.19,211.48,META,0.5446,209.95,214.15,512545,0,-4.3
-2.0836,269.98,268.81,NVDA,0.9568,263.95,268.29,421057,3,-3.53
-3.666,190.68,185.52,TSLA,0.7518,183.76,190.515,890617,8,-1.36
-1.4943,90.02,89.65,SONY,0.7198,89.5312,89.9,2087,0,0.0
0.4103,132.61,132.14,IBM,0.4187,131.37,131.37,51366,0,0.0
