high,percentchange,price,open,low,relvolume,symbol,watchers,hourchange,sentiment
461.9046,-0.0672,461.26,460.46,458.615,0.212,NOC,8020,0,22.22
284.46,0.5526,282.06,284.23,281.5,0.4608,MSFT,442584,8,2.68
274.99,0.8894,272.24,272.29,271.02,0.4955,NVDA,420558,8,1.72
208.09,0.5746,206.53,203.38,202.85,0.4974,META,512287,5,1.53
214.19,0.3775,204.72,209.435,203.96,0.5122,ENPH,37319,1,-1.36
197.328,0.9671,195.755,195.58,194.42,0.474,TSLA,889734,6,4.51
162.47,0.4914,161.56,161.53,161.271,0.4222,AAPL,876772,5,4.74
131.47,-0.3007,129.32,130.16,129.15,0.3632,IBM,51348,1,8.62
130.12,-0.7744,128.1399,129.95,127.65,0.5736,JPM,82476,-2,4.07
120.05,-0.2097,118.94,120.0,118.85,0.3225,EA,20710,0,5.56
103.04,1.0374,101.29,101.55,101.01,0.5314,AMZN,587420,7,6.84
100.96,-0.7397,100.64,100.91,99.78,0.4866,GOOGL,159879,7,3.69
99.53,1.79,97.81,98.0,97.25,0.679,AMD,456356,6,-3.94
89.51,1.3315,89.04,88.7,88.64,0.9157,SONY,2081,0,0.0
32.58,1.9036,32.12,31.85,31.81,1.1062,INTC,131054,4,17.52
9.0,7.4968,8.46,8.08,8.079,0.4754,CVNA,23365,8,-4.98
5.93,-1.5652,5.66,5.87,5.62,0.4633,SOFI,91777,2,0.43
5.16,-1.212,4.9394,5.11,4.9,0.4174,AMC,412494,0,1.25
