relvolume,high,symbol,open,price,percentchange,low,watchers,hourchange,sentiment
0.4744,289.05,MSFT,285.99,288.42,0.0173,284.54,443647,3,5.34
0.2952,8.84,CVNA,8.6,8.635,-1.875,8.3,23284,-1,-4.39
0.3668,128.9,EA,128.58,128.155,-0.6858,128.075,20705,1,10.0
0.5763,141.5,JPM,141.23,141.22,-0.1273,140.41,82989,0,-0.68
0.5063,91.12,SONY,91.0,90.95,-0.3943,90.73,2087,1,0.0
0.6315,183.5,TSLA,179.1,180.49,-2.0726,177.65,891999,25,0.78
0.4953,6.1,SOFI,5.9,6.075,1.5886,5.87,91963,16,0.91
0.6395,168.16,AAPL,165.8,167.59,0.6728,165.54,878179,3,4.2
0.5032,228.49,ENPH,225.06,224.41,-1.5184,222.3,37475,-1,-0.26
0.4343,31.52,INTC,31.1,31.16,-2.1049,31.0828,131281,2,0.0
0.3154,5.17,AMC,4.95,5.1,0.9901,4.92,413181,-2,-1.52
0.8364,105.12,AMZN,101.58,104.295,1.9501,101.39,588745,9,2.6
0.6812,280.0,NVDA,273.61,279.27,0.9397,272.32,421918,0,2.9
0.4242,482.74,NOC,480.46,477.25,-0.463,476.24,8043,0,6.06
0.5543,90.54,AMD,88.51,89.94,0.1782,88.22,456896,-3,0.9
0.4564,104.98,GOOGL,103.58,104.19,-0.2967,103.07,160558,2,-0.17
0.4728,217.33,META,213.472,215.6,-1.051,212.94,512956,-3,3.28
0.9493,126.98,IBM,126.5,126.28,-1.1739,125.3,51409,4,1.48
