relvolume,open,low,price,symbol,percentchange,high,watchers,hourchange,sentiment
0.8619,270.31,263.55,267.79,NVDA,-1.5152,271.67,420202,6,-1.07
0.2716,8.18,7.95,8.19,CVNA,-1.9162,8.47,23417,0,-0.49
1.0179,99.18,96.74,97.95,AMD,-2.3235,99.52,456184,3,-2.45
0.6283,123.36,122.88,125.29,IBM,1.5563,125.4,51327,0,-2.11
0.6983,158.86,157.85,160.25,AAPL,0.8306,160.34,876403,3,-1.12
0.7429,277.24,275.3,280.57,MSFT,1.048,280.63,442258,6,0.18
0.7919,445.08,443.105,455.25,NOC,2.4323,456.2,8012,0,-10.23
0.8715,118.08,117.61,119.03,EA,2.5767,119.205,20720,0,0.0
0.4643,5.675,5.645,5.74,SOFI,-0.692,5.83,91707,3,-0.31
0.283,4.4,4.38,4.47,AMC,0.0,4.54,411928,0,0.06
1.0801,29.04,28.93,29.36,INTC,1.1368,29.81,130867,-2,-2.08
0.6949,98.065,96.4,98.13,AMZN,-0.5876,98.295,587053,5,-1.0
0.7884,205.18,203.55,206.01,META,0.8469,207.574,512051,3,2.95
0.6231,191.65,187.15,190.41,TSLA,-0.9416,192.36,889285,11,-1.16
0.6651,104.99,103.84,105.44,GOOGL,-0.1515,105.49,159720,0,-3.52
1.3895,88.3,86.96,87.53,SONY,-0.8383,88.3,2082,0,0.0
0.8771,202.35,192.46,195.99,ENPH,-4.2363,203.55,37275,0,4.49
1.496,125.63,123.11,124.91,JPM,-1.5216,125.68,82371,0,0.29
