price,symbol,percentchange,low,open,high,relvolume,watchers,hourchange,sentiment
9.06,CVNA,1.0033,8.68,8.91,9.2192,0.273,23311,1,-0.87
5.2,AMC,1.5625,5.1301,5.24,5.3,0.3666,413214,3,-1.29
218.86,META,-1.1874,217.13,219.79,220.979,0.4402,512925,0,0.24
89.87,AMD,-2.049,88.3,90.23,90.69,0.7217,456850,1,-2.83
5.96,SOFI,0.6757,5.81,5.89,6.0,0.6655,91920,1,0.18
139.83,JPM,0.7929,137.66,139.95,140.06,1.0164,82975,2,0.68
165.23,AAPL,0.0121,164.03,165.09,165.39,0.5412,878010,0,2.35
127.82,IBM,-0.2497,126.8,128.3,128.72,0.5124,51378,0,-5.04
474.79,NOC,0.4698,471.38,472.99,477.68,0.4391,8041,0,3.57
187.04,TSLA,1.1027,182.7,186.32,189.69,0.6825,891666,10,0.17
32.14,INTC,0.7839,31.77,31.95,32.64,0.5168,131274,3,3.25
105.97,GOOGL,-2.6637,104.52,104.658,106.155,0.816,160532,8,-12.05
91.15,SONY,0.3192,90.35,90.55,91.23,0.9083,2088,0,0.0
288.8,MSFT,0.9296,286.2,289.93,291.58,0.6118,443554,0,2.72
224.92,ENPH,7.6687,214.7801,215.0,229.23,1.7249,37476,0,3.52
128.08,EA,0.1642,127.14,127.37,128.42,0.4493,20706,0,-10.0
102.74,AMZN,0.2244,101.59,103.16,103.73,0.5299,588613,4,-0.44
270.02,NVDA,0.9119,264.36,265.655,270.06,0.5878,421737,-1,-1.24
