open,low,symbol,relvolume,percentchange,high,price,watchers,hourchange,sentiment
103.58,103.07,GOOGL,0.4564,-0.3062,104.98,104.18,160559,1,-0.07
126.5,125.3,IBM,0.9493,-1.1426,126.98,126.32,51434,25,3.39
213.472,212.94,META,0.4728,-1.0051,217.33,215.7,512956,0,3.28
141.23,140.41,JPM,0.5763,-0.1273,141.5,141.22,82990,1,-0.34
128.58,128.075,EA,0.3668,-0.6665,128.9,128.18,20704,-1,10.0
8.6,8.3,CVNA,0.2952,-1.9318,8.84,8.63,23284,0,-2.91
91.0,90.73,SONY,0.5063,-0.3724,91.12,90.97,2087,0,0.0
5.9,5.87,SOFI,0.4953,1.6722,6.1,6.08,91973,10,1.25
285.99,284.54,MSFT,0.4744,0.0277,289.05,288.45,443656,9,6.56
179.1,177.65,TSLA,0.6315,-2.0183,183.5,180.59,892069,70,0.78
225.06,222.3,ENPH,0.5032,-1.5798,228.49,224.27,37475,0,-0.31
165.8,165.54,AAPL,0.6395,0.6968,168.16,167.63,878187,8,5.32
31.1,31.0828,INTC,0.4343,-2.1363,31.52,31.15,131281,0,0.99
4.95,4.92,AMC,0.3154,0.9901,5.17,5.1,413183,2,-1.19
480.46,476.24,NOC,0.4242,-0.5006,482.74,477.07,8043,0,6.06
273.61,272.32,NVDA,0.6812,0.9542,280.0,279.31,421923,5,4.27
101.58,101.39,AMZN,0.8364,1.955,105.12,104.3,588751,6,2.51
88.51,88.22,AMD,0.5543,0.1782,90.54,89.94,456906,10,0.69
