high,low,percentchange,open,relvolume,price,symbol,watchers,hourchange,sentiment
287.01,281.96,0.2334,284.79,0.7301,283.49,MSFT,443296,0,-1.71
127.1812,125.82,0.3581,126.28,0.4105,126.13,EA,20703,0,-16.67
162.06,159.78,-0.4353,161.22,0.6508,160.1,AAPL,877688,4,0.58
94.995,91.74,-1.8079,94.97,0.8136,92.33,AMD,456745,-2,5.58
5.74,5.34,-1.6575,5.62,0.827,5.34,AMC,413218,0,0.01
10.32,8.79,-5.3279,9.79,0.5844,9.24,CVNA,23329,0,5.67
90.4,89.29,0.5961,90.0,0.4882,89.44,SONY,2089,0,0.0
130.43,128.0603,-0.0156,129.18,0.66,128.5,JPM,82625,1,-3.21
191.58,180.31,-3.346,190.74,0.8639,180.54,TSLA,891235,8,-0.46
216.84,212.584,0.0701,214.835,0.5478,214.0,META,512769,3,-1.85
274.63,264.4786,-2.4808,273.7,0.8408,264.95,NVDA,421444,0,-0.32
100.51,97.705,-2.0917,100.4,0.7773,97.83,AMZN,588275,2,-0.12
201.26,195.81,-0.4317,199.9,0.4414,196.03,ENPH,37410,0,2.29
106.75,104.34,-0.6739,106.58,0.5099,104.64,GOOGL,160346,2,0.16
32.89,31.96,-1.0201,32.77,0.5877,32.02,INTC,131233,0,-7.09
130.87,128.18,-1.4415,130.4,0.6074,128.54,IBM,51369,0,-2.42
474.7299,466.03,0.961,467.43,0.4255,472.77,NOC,8038,0,3.33
6.05,5.67,-2.5126,6.06,0.9555,5.82,SOFI,91916,0,-0.34
