price,percentchange,symbol,open,relvolume,high,low,watchers,hourchange,sentiment
113.52,0.15,EA,113.01,0.5323,114.28,113.01,20731,0,33.33
7.07,-7.5817,CVNA,7.43,0.3366,7.81,6.87,23279,0,-2.03
96.81,-1.0527,AMD,96.3,1.5349,96.94,92.9,455939,2,-0.7
97.71,-1.2532,AMZN,98.41,0.7742,98.48,95.7,586770,6,0.69
272.23,-2.5767,MSFT,276.98,1.2161,277.48,269.85,441943,2,0.02
127.14,1.0571,JPM,126.99,1.609,129.46,126.01,82210,5,0.55
4.27,2.1531,AMC,4.25,0.4546,4.38,4.14,411730,4,-0.45
183.25,1.7321,TSLA,178.08,0.6925,186.44,176.35,888860,2,-0.26
449.26,1.2759,NOC,445.27,0.4475,452.2,445.36,8003,0,8.33
101.22,-0.3936,GOOGL,100.12,0.7301,101.75,99.88,159585,3,-0.62
88.42,2.196,SONY,87.52,1.1668,89.16,87.33,2079,0,0.0
192.51,4.8301,ENPH,189.59,1.1646,196.88,185.2,37213,4,1.7
157.4,1.5484,AAPL,155.07,0.8489,157.81,154.15,876035,8,0.22
29.16,-2.1805,INTC,29.8,0.7742,29.9,28.63,130826,2,-1.51
125.94,1.8191,IBM,124.31,0.7973,126.1508,124.19,51327,0,1.06
259.0,0.6803,NVDA,256.15,0.819,260.24,251.3,419434,4,0.7
197.81,1.1247,META,198.48,0.723,199.36,193.64,511744,8,1.5
5.22,-4.3956,SOFI,5.47,0.8466,5.54,5.19,91592,3,1.11
