price,relvolume,low,percentchange,symbol,high,open,watchers,hourchange,sentiment
480.48,0.5015,475.77,1.1984,NOC,483.31,475.74,8042,1,-12.5
288.4088,0.4551,287.02,-0.1355,MSFT,291.6,291.57,443604,0,3.56
275.52,1.0813,273.57,2.0369,NVDA,281.0802,275.335,421841,6,0.3
226.755,0.7095,222.23,0.8158,ENPH,231.31,225.43,37489,3,-0.84
218.22,0.3075,216.215,-0.2924,META,220.44,219.91,512940,4,-0.84
184.89,0.4939,183.5887,-1.1495,TSLA,187.69,187.15,891773,9,-0.82
166.5822,0.5495,165.65,0.8184,AAPL,167.41,166.1,878082,6,3.3
141.495,0.6999,139.03,1.1907,JPM,141.77,140.27,82988,0,0.02
129.21,0.3802,127.82,0.8823,EA,129.38,128.81,20705,-1,0.0
128.05,0.352,127.35,0.1799,IBM,128.68,128.14,51380,1,-1.02
104.395,0.4939,104.25,-1.4863,GOOGL,106.515,106.49,160550,-1,-1.54
102.09,0.459,101.52,-0.6327,AMZN,104.2,103.95,588647,8,1.61
91.175,0.578,90.995,0.0274,SONY,91.86,91.57,2086,0,0.0
90.02,0.6316,89.33,0.1669,AMD,92.16,91.61,456867,0,1.32
31.895,0.3544,31.8,-0.7623,INTC,32.46,32.43,131277,2,1.77
8.915,0.2273,8.76,-1.6004,CVNA,9.285,9.22,23301,-4,-2.88
5.965,0.3727,5.895,0.0839,SOFI,6.02,6.0,91914,-2,-0.57
5.065,0.2965,4.98,-2.5962,AMC,5.212,5.23,413184,-1,-2.27
