price,symbol,percentchange,relvolume,low,high,open,watchers,hourchange,sentiment
473.56,NOC,0.2095,0.3051,471.38,477.68,472.99,8040,0,8.33
287.5301,MSFT,0.4858,0.4968,286.2,291.58,289.93,443539,1,1.32
267.4,NVDA,-0.0673,0.4617,264.36,269.225,265.655,421723,6,-0.68
223.65,ENPH,7.0608,1.3449,214.7801,229.23,215.0,37460,0,4.11
218.775,META,-1.2258,0.3515,217.13,220.979,219.79,512898,2,0.25
185.33,TSLA,0.1784,0.561,182.7,189.69,186.32,891624,4,0.75
164.565,AAPL,-0.3904,0.425,164.03,165.39,165.09,877998,10,1.2
139.3,JPM,0.4109,0.8087,137.66,140.06,139.95,82968,2,0.7
128.25,EA,0.2972,0.3043,127.14,128.28,127.37,20706,0,-10.0
127.16,IBM,-0.7648,0.3672,126.8,128.72,128.3,51377,0,-3.45
105.87,GOOGL,-2.7556,0.7041,104.52,106.0,104.658,160510,7,-11.18
102.34,AMZN,-0.1658,0.4415,101.59,103.73,103.16,588603,7,-1.74
91.0,SONY,0.1541,0.6706,90.35,91.08,90.55,2088,0,0.0
89.28,AMD,-2.6921,0.5873,88.3,90.69,90.23,456840,7,-1.93
31.925,INTC,0.1098,0.3849,31.77,32.64,31.95,131266,2,3.52
8.77,CVNA,-2.2297,0.2092,8.68,9.2192,8.91,23313,-3,-0.75
5.925,SOFI,0.0845,0.5467,5.81,5.96,5.89,91911,-6,0.1
5.175,AMC,1.0742,0.2953,5.1301,5.3,5.24,413210,-1,-1.04
