high,percentchange,symbol,price,open,low,relvolume,watchers,hourchange,sentiment
459.96,0.7051,NOC,458.46,459.09,455.23,0.292,8013,0,0.0
281.4589,-1.3473,MSFT,276.79,280.5,275.52,0.5759,442425,5,0.38
269.94,-0.646,NVDA,266.06,268.37,263.6501,0.6036,420365,2,-1.03
205.86,-1.2038,META,203.53,204.81,201.37,0.418,512182,6,-0.28
200.21,0.6403,ENPH,197.245,199.36,191.61,0.5033,37293,0,0.27
197.39,1.3656,TSLA,193.0103,194.415,189.94,0.5834,889468,5,-0.37
160.77,-0.8799,AAPL,158.84,159.94,157.87,0.5091,876585,0,0.28
130.255,3.5278,IBM,129.71,126.47,126.47,0.8092,51335,0,2.27
129.38,3.3384,JPM,129.08,126.79,126.29,1.0295,82429,5,-3.66
119.4,-0.021,EA,119.005,118.9,118.14,0.4181,20718,0,0.0
104.76,-2.1529,GOOGL,103.17,104.615,101.9273,0.5508,159784,1,-0.41
99.335,0.2853,AMZN,98.41,99.07,97.08,0.505,587193,-1,-0.93
98.93,-0.7555,AMD,97.21,98.02,95.425,0.7791,456271,5,-1.6
87.38,-0.8854,SONY,86.755,87.12,86.33,0.8397,2081,0,0.0
29.73,0.2214,INTC,29.425,29.37,29.08,0.4999,130888,0,1.01
8.3686,-5.1893,CVNA,7.765,8.35,7.57,0.2234,23422,-4,-0.56
5.88,0.9582,SOFI,5.795,5.82,5.73,0.4739,91735,2,0.02
4.53,1.0067,AMC,4.515,4.51,4.3,0.4165,411968,-2,-0.2
