open,price,high,symbol,relvolume,low,percentchange,watchers,hourchange,sentiment
166.1,166.47,167.41,AAPL,0.6295,165.65,0.7505,878103,5,4.02
106.49,104.5,106.515,GOOGL,0.5757,104.07,-1.3872,160554,0,-2.58
187.15,184.31,187.69,TSLA,0.5393,183.5887,-1.4596,891803,5,-0.63
9.22,8.8,9.285,CVNA,0.2683,8.76,-2.8698,23295,-2,-4.4
219.91,217.89,220.44,META,0.3488,216.215,-0.4432,512948,2,0.77
291.57,288.37,291.6,MSFT,0.5165,287.02,-0.1489,443617,-3,5.01
140.27,141.4,141.78,JPM,0.8356,139.03,1.1228,82990,0,-0.58
225.43,227.87,231.31,ENPH,0.8254,222.23,1.3116,37487,1,-1.3
475.74,479.47,483.4,NOC,0.6483,475.74,0.9857,8043,0,-11.11
103.95,102.3,104.2,AMZN,0.555,101.52,-0.4283,588663,0,1.5
128.81,129.04,129.38,EA,0.5166,127.82,0.7495,20704,0,0.0
128.14,127.78,128.68,IBM,0.4769,127.35,-0.0313,51378,0,-0.62
6.0,5.98,6.02,SOFI,0.4567,5.895,0.3356,91919,0,-1.09
5.23,5.05,5.212,AMC,0.3403,4.98,-2.8846,413179,-2,-1.84
32.43,31.83,32.46,INTC,0.4755,31.785,-0.9645,131278,0,0.54
275.335,276.67,281.0802,NVDA,1.1798,273.57,2.4628,421849,4,0.13
91.61,89.78,92.16,AMD,0.6994,89.33,-0.1001,456872,1,2.98
91.57,91.31,91.86,SONY,0.8545,90.99,0.1755,2087,0,0.0
