price,symbol,low,high,percentchange,relvolume,open,watchers,hourchange,sentiment
288.45,MSFT,284.54,289.05,0.0277,0.4744,285.99,443657,1,5.45
224.27,ENPH,222.3,228.49,-1.5798,0.5032,225.06,37473,1,-0.57
180.59,TSLA,177.65,183.5,-2.0183,0.6315,179.1,892165,24,-4.74
6.08,SOFI,5.87,6.1,1.6722,0.4953,5.9,91959,0,1.92
31.15,INTC,31.0828,31.52,-2.1363,0.4343,31.1,131285,4,1.89
8.63,CVNA,8.3,8.84,-1.9318,0.2952,8.6,23286,5,-1.5
90.97,SONY,90.73,91.12,-0.3724,0.5063,91.0,2089,0,0.0
5.1,AMC,4.92,5.17,0.9901,0.3154,4.95,413188,0,-0.52
167.63,AAPL,165.54,168.16,0.6968,0.6395,165.8,878196,0,5.73
279.31,NVDA,272.32,280.0,0.9542,0.6812,273.61,421930,5,5.4
477.07,NOC,476.24,482.74,-0.5006,0.4242,480.46,8043,0,3.33
104.3,AMZN,101.39,105.12,1.955,0.8364,101.58,588753,0,2.43
89.94,AMD,88.22,90.54,0.1782,0.5543,88.51,456906,2,0.16
104.18,GOOGL,103.07,104.98,-0.3062,0.4564,103.58,160563,0,0.06
126.32,IBM,125.3,126.98,-1.1426,0.9493,126.5,51454,5,-3.05
215.7,META,212.94,217.33,-1.0051,0.4728,213.472,512956,3,3.52
128.18,EA,128.075,128.9,-0.6665,0.3668,128.58,20704,0,10.0
141.22,JPM,140.41,141.5,-0.1273,0.5763,141.23,82986,0,0.49
