symbol,relvolume,low,high,open,percentchange,price,watchers,hourchange,sentiment
EA,0.4521,124.74,126.25,125.13,0.0478,125.68,20704,0,-10.0
AMZN,0.8239,99.01,100.99,100.8,-2.2022,99.92,588182,3,-4.85
JPM,0.6398,127.54,128.94,128.3,0.4926,128.52,82604,1,1.62
NOC,0.5013,467.525,476.12,476.12,-1.7354,468.27,8038,0,13.33
CVNA,0.7987,9.6,10.85,9.79,4.8335,9.76,23337,2,12.8
AMC,0.9069,5.25,5.63,5.45,3.626,5.43,413171,-2,4.32
MSFT,0.7591,281.64,285.87,285.75,-2.2668,282.83,443240,6,-2.93
ENPH,0.3554,193.14,199.04,195.9,0.5516,196.88,37408,0,-0.49
AMD,0.7947,92.7,96.065,96.06,-1.5186,94.03,456723,0,3.11
GOOGL,0.583,104.68,106.73,106.55,-1.0241,105.35,160326,2,-0.92
INTC,0.4705,32.32,33.11,32.66,-0.5228,32.35,131224,1,-8.94
IBM,0.4743,130.18,131.105,130.58,-0.4655,130.42,51367,2,0.0
SONY,0.5067,88.83,89.49,89.24,0.4519,88.91,2089,0,0.0
SOFI,0.662,5.86,6.02,5.91,1.0152,5.97,91918,1,3.19
NVDA,0.5674,271.26,277.89,277.235,-1.4866,271.69,421376,4,1.35
META,0.4677,213.43,216.02,215.48,-0.4191,213.85,512735,10,-2.71
TSLA,0.6665,185.65,189.19,186.69,1.2357,186.79,891143,7,0.33
AAPL,0.6091,160.51,162.36,162.35,-0.7591,160.8,877605,0,-3.63
