high,relvolume,symbol,price,low,percentchange,open,watchers,hourchange,sentiment
89.53,1.4544,SONY,89.31,88.555,1.6388,88.7,2082,0,0.0
9.0,0.5721,CVNA,8.83,8.0748,12.1982,8.08,23362,-4,-5.02
274.99,0.6652,NVDA,273.83,271.02,1.4787,272.29,420570,-1,2.26
120.05,0.5217,EA,119.1,118.85,-0.0755,120.0,20710,0,5.56
197.328,0.6092,TSLA,195.28,194.42,0.7221,195.58,889751,7,4.19
5.16,0.5325,AMC,4.97,4.865,-0.6,5.11,412470,-4,0.78
162.47,0.5827,AAPL,162.36,161.271,0.989,161.53,876771,4,3.65
284.46,0.6427,MSFT,284.05,281.5,1.262,284.23,442600,1,-0.15
208.09,0.6432,META,207.84,202.85,1.2126,203.38,512301,3,6.06
130.12,0.7826,JPM,128.75,127.65,-0.302,129.95,82474,0,1.08
214.19,0.6629,ENPH,205.27,203.96,0.6472,209.435,37321,1,-2.13
101.155,0.6807,GOOGL,100.89,99.78,-0.4931,100.91,159890,2,2.97
5.93,0.6344,SOFI,5.72,5.62,-0.5217,5.87,91769,0,-1.14
32.58,1.4198,INTC,32.09,31.81,1.8084,31.85,131054,0,4.5
99.53,0.8812,AMD,97.88,97.25,1.8628,98.0,456364,1,-3.07
103.04,0.6777,AMZN,102.0,101.01,1.7456,101.55,587425,0,3.58
462.92,0.3938,NOC,460.98,458.5,-0.1278,460.46,8023,0,0.0
131.48,0.5487,IBM,129.22,129.1,-0.3778,130.16,51343,0,8.38
