symbol,percentchange,open,relvolume,price,high,low,watchers,hourchange,sentiment
NOC,0.3145,472.0,0.255,474.2568,474.3,469.78,8038,0,-8.57
MSFT,1.8131,283.59,0.4258,288.63,288.85,283.17,443339,9,-1.93
NVDA,1.1021,267.34,0.4995,267.87,268.869,263.29,421486,2,-3.55
META,2.8458,215.73,0.4983,220.09,220.37,215.82,512786,7,1.88
ENPH,7.6111,200.01,0.7528,210.95,211.55,198.52,37419,2,-1.26
TSLA,3.0409,182.955,0.5456,186.03,186.5,180.94,891307,8,-0.16
AAPL,3.1761,161.63,0.6174,165.185,165.38,161.44,877728,3,0.22
JPM,-0.0156,128.46,0.5348,128.48,128.77,126.84,82658,14,-5.66
IBM,-0.4084,128.01,0.5979,128.015,128.0399,126.01,51367,3,5.26
EA,1.4826,126.58,0.2969,128.0,128.72,126.58,20703,0,0.0
GOOGL,2.4943,105.84,0.3879,107.25,107.47,105.9,160360,-1,-0.48
AMZN,4.61,98.95,0.7102,102.34,102.56,98.73,588350,6,3.23
AMD,0.0325,92.79,0.4775,92.36,93.16,91.83,456752,6,1.85
SONY,1.3976,90.1,0.4495,90.69,90.74,90.0,2088,0,0.0
INTC,0.9525,31.82,0.3327,32.325,32.37,31.65,131230,0,-0.14
CVNA,4.5455,9.27,0.2484,9.66,9.76,9.201,23336,-3,0.65
SOFI,1.6323,5.91,0.382,5.915,5.98,5.825,91919,1,0.89
AMC,2.5281,5.48,0.4047,5.475,5.66,5.3975,413218,-3,-2.73
