high,relvolume,low,percentchange,symbol,open,price,watchers,hourchange,sentiment
5.07,0.3518,4.91,0.4024,AMC,4.94,4.99,413187,2,0.21
30.79,0.5032,30.225,-1.8146,INTC,30.84,30.3,131286,0,-1.16
141.11,0.6957,138.78,-0.1917,JPM,139.74,140.54,82973,-1,-3.92
130.12,0.504,128.695,0.2407,EA,129.05,129.11,20702,0,10.0
286.26,0.5756,283.0608,-0.1223,MSFT,285.01,285.76,443720,-1,-1.66
126.69,1.0535,125.27,-0.4986,IBM,126.0,125.73,51487,0,1.75
271.83,0.644,267.2301,0.0553,NVDA,269.52,271.19,422040,3,1.39
213.41,0.5292,209.76,-0.0845,META,210.21,212.89,513005,3,-1.19
166.45,0.7882,164.5,-0.9781,AAPL,165.05,165.02,878310,878298,-1.5
89.72,0.6306,88.055,-1.8644,AMD,89.8,88.43,456942,0,0.91
108.15,1.2806,105.08,3.0344,AMZN,106.1,106.96,588940,4,0.55
166.0,0.7409,161.33,1.2823,TSLA,164.8,165.08,892747,9,1.13
106.0,0.5543,104.79,0.114,GOOGL,105.47,105.41,160606,-1,-0.92
226.77,0.5057,219.9,-0.5249,ENPH,223.75,223.61,37490,3,1.65
8.29,0.2397,7.735,1.75,CVNA,7.97,8.14,23257,0,-1.24
92.38,0.7484,91.61,0.7332,SONY,91.87,92.05,2089,0,0.0
5.99,0.4494,5.85,0.3378,SOFI,5.9,5.94,91962,2,0.01
474.875,0.6011,468.84,-0.4618,NOC,475.72,471.99,8044,0,1.43
