symbol,relvolume,open,price,high,percentchange,low,watchers,hourchange,sentiment
EA,0.4634,126.58,128.28,128.72,1.7046,126.58,20702,0,6.67
MSFT,0.602,283.59,289.84,289.9,2.2399,283.17,443359,0,1.54
JPM,0.7779,128.46,128.99,129.035,0.3813,126.84,82735,7,7.91
NOC,0.3826,472.0,474.16,476.065,0.294,469.78,8040,0,-16.67
CVNA,0.3162,9.27,9.37,9.76,1.4069,9.201,23339,0,1.08
SOFI,0.5437,5.91,5.86,5.98,0.6873,5.825,91911,-3,1.79
INTC,0.474,31.82,32.13,32.4252,0.3435,31.65,131236,0,4.86
GOOGL,0.5101,105.84,107.43,107.49,2.6663,105.9,160363,0,-1.88
SONY,0.7734,90.1,90.49,90.83,1.174,90.0,2088,0,0.0
TSLA,0.6485,182.955,185.9,186.5,2.9689,180.94,891332,8,1.33
META,0.6771,215.73,220.35,221.15,2.9673,215.82,512810,2,2.29
AMD,0.6105,92.79,92.09,93.16,-0.2599,91.83,456771,2,0.69
ENPH,0.9909,200.01,209.69,211.55,6.9683,198.52,37427,0,-4.67
NVDA,0.6485,267.34,264.63,268.869,-0.1208,263.29,421522,4,-2.93
AMC,0.5092,5.48,5.46,5.66,2.2472,5.39,413226,1,-2.8
AAPL,0.8567,161.63,165.56,165.8,3.4104,161.44,877769,3,4.53
IBM,0.8901,128.01,127.9,128.39,-0.4979,126.01,51369,1,7.6
AMZN,0.9312,98.95,102.4,102.56,4.6714,98.73,588391,-1,4.3
