symbol,open,percentchange,relvolume,low,price,high,watchers,hourchange,sentiment
META,205.18,0.8469,0.7884,203.55,206.01,207.574,512045,-15,0.97
GOOGL,104.99,-0.1515,0.6651,103.84,105.44,105.49,159717,2,-3.93
JPM,125.63,-1.5216,1.496,123.11,124.91,125.68,82363,0,-0.56
TSLA,191.65,-0.9416,0.6231,187.15,190.41,192.36,889278,1,-1.41
NOC,445.08,2.4323,0.7919,443.0,455.25,456.2,8013,0,-6.06
SONY,88.3,-0.8383,1.3895,86.96,87.53,88.3,2082,0,0.0
NVDA,270.31,-1.5152,0.8619,263.55,267.79,271.67,420189,4,-1.04
MSFT,277.24,1.048,0.7429,275.3,280.57,280.63,442243,5,-0.91
AAPL,158.86,0.8306,0.6983,157.85,160.25,160.34,876387,6,-2.25
AMD,99.18,-2.3235,1.0179,96.74,97.95,99.52,456183,-5,-3.28
CVNA,8.18,-1.9162,0.2716,7.95,8.19,8.47,23423,0,-0.9
IBM,123.36,1.5563,0.6283,122.88,125.29,125.4,51325,0,-2.69
ENPH,202.35,-4.2363,0.8771,192.46,195.99,203.55,37277,3,4.76
EA,118.08,2.5767,0.8715,117.61,119.03,119.205,20720,1,7.14
AMC,4.4,0.0,0.283,4.38,4.47,4.54,411924,0,-0.03
SOFI,5.675,-0.692,0.4643,5.645,5.74,5.83,91705,0,-0.16
INTC,29.04,1.1368,1.0801,28.93,29.36,29.81,130871,2,-1.12
AMZN,98.065,-0.5876,0.6949,96.4,98.13,98.295,587041,1,-1.17
