open,low,percentchange,high,price,symbol,relvolume,watchers,hourchange,sentiment
470.55,468.94,-0.5209,471.98,471.69,NOC,0.2782,8041,0,8.57
287.0,283.69,-1.3732,288.48,285.86,MSFT,0.5132,443392,1,-0.01
265.04,262.2,0.8162,268.83,266.79,NVDA,0.6955,421584,12,-3.3
217.88,217.56,0.3812,222.11,221.19,META,0.6008,512835,3,-0.44
209.77,204.67,-0.5532,214.57,208.53,ENPH,0.6356,37423,-1,-5.1
183.95,182.01,-0.4788,186.28,185.01,TSLA,0.5295,891413,4,-0.45
164.59,163.83,-0.3201,166.32,165.03,AAPL,0.5828,877851,4,1.19
135.15,134.95,7.613,139.12,138.81,JPM,2.856,82923,-17,9.41
127.98,127.45,-0.3625,128.53,127.815,EA,0.3345,20705,-1,16.67
128.46,127.31,-0.1095,129.84,127.76,IBM,0.5228,51369,0,1.0
106.89,106.88,1.1635,108.86,108.68,GOOGL,0.4941,160403,2,-1.79
102.07,101.11,-0.0684,103.2013,102.33,AMZN,0.6497,588466,0,-0.05
91.82,90.5,-0.5429,92.97,91.59,AMD,0.5503,456770,2,-0.52
90.85,90.412,0.5968,91.44,91.03,SONY,0.6738,2088,0,0.0
32.0,31.69,-0.8073,32.235,31.8706,INTC,0.3658,131239,2,-2.0
9.47,8.68,-3.7887,9.798,9.015,CVNA,0.3096,23330,-2,-1.34
5.99,5.77,0.7679,6.03,5.905,SOFI,0.5943,91913,-1,-0.28
5.74,4.9,-6.8681,5.75,5.085,AMC,0.7988,413220,-6,-0.28
