high,price,relvolume,open,symbol,percentchange,low,watchers,hourchange,sentiment
32.58,32.09,1.4198,31.85,INTC,1.8084,31.81,131054,4,5.34
5.93,5.72,0.6344,5.87,SOFI,-0.5217,5.62,91769,0,-1.27
99.53,97.88,0.8812,98.0,AMD,1.8628,97.25,456363,-2,-2.75
103.04,102.0,0.6777,101.55,AMZN,1.7456,101.01,587425,-9,3.52
462.92,460.98,0.3938,460.46,NOC,-0.1278,458.5,8023,0,0.0
131.48,129.22,0.5487,130.16,IBM,-0.3778,129.1,51343,-2,8.71
197.328,195.28,0.6092,195.58,TSLA,0.7221,194.42,889744,-1,4.67
120.05,119.1,0.5217,120.0,EA,-0.0755,118.85,20710,0,5.56
9.0,8.83,0.5721,8.08,CVNA,12.1982,8.0748,23366,-1,-5.66
89.53,89.31,1.4544,88.7,SONY,1.6388,88.555,2082,0,0.0
274.99,273.83,0.6652,272.29,NVDA,1.4787,271.02,420571,2,2.95
162.47,162.36,0.5827,161.53,AAPL,0.989,161.271,876767,-15,3.84
284.46,284.05,0.6427,284.23,MSFT,1.262,281.5,442599,3,0.17
5.16,4.97,0.5325,5.11,AMC,-0.6,4.865,412474,-2,0.68
208.09,207.84,0.6432,203.38,META,1.2126,202.85,512298,-4,6.71
214.19,205.27,0.6629,209.435,ENPH,0.6472,203.96,37320,-1,-2.09
130.12,128.75,0.7826,129.95,JPM,-0.302,127.65,82474,-3,1.4
101.155,100.89,0.6807,100.91,GOOGL,-0.4931,99.78,159888,7,3.5
