open,price,relvolume,percentchange,high,low,symbol,watchers,hourchange,sentiment
277.235,271.69,0.5674,-1.4866,277.89,271.26,NVDA,421363,5,1.17
186.69,186.79,0.6665,1.2357,189.19,185.65,TSLA,891121,-1,0.49
215.48,213.85,0.4677,-0.4191,216.02,213.43,META,512720,4,-2.05
162.35,160.8,0.6091,-0.7591,162.36,160.51,AAPL,877585,7,-4.09
100.8,99.92,0.8239,-2.2022,100.99,99.01,AMZN,588166,5,-5.82
476.12,468.27,0.5013,-1.7354,476.12,467.525,NOC,8039,0,13.33
128.3,128.52,0.6398,0.4926,128.94,127.54,JPM,82601,-1,1.62
125.13,125.68,0.4521,0.0478,126.25,124.74,EA,20704,0,-13.64
5.45,5.43,0.9069,3.626,5.63,5.25,AMC,413160,0,4.55
9.79,9.76,0.7987,4.8335,10.85,9.6,CVNA,23334,0,13.41
285.75,282.83,0.7591,-2.2668,285.87,281.64,MSFT,443222,0,-2.0
195.9,196.88,0.3554,0.5516,199.04,193.14,ENPH,37408,0,-0.29
130.58,130.42,0.4743,-0.4655,131.105,130.18,IBM,51365,0,-0.83
32.66,32.35,0.4705,-0.5228,33.11,32.32,INTC,131221,0,-9.79
106.55,105.35,0.583,-1.0241,106.73,104.68,GOOGL,160315,0,-0.21
89.24,88.91,0.5067,0.4519,89.49,88.83,SONY,2089,0,0.0
96.06,94.03,0.7947,-1.5186,96.065,92.7,AMD,456717,3,2.99
5.91,5.97,0.662,1.0152,6.02,5.86,SOFI,91912,-2,2.29
