symbol,price,open,relvolume,high,low,percentchange,watchers,hourchange,sentiment
JPM,140.54,139.74,0.6957,141.11,138.78,-0.1917,82968,-1,-3.86
INTC,30.3,30.84,0.5032,30.79,30.225,-1.8146,131265,0,-2.0
EA,129.11,129.05,0.504,130.12,128.695,0.2407,20700,0,25.0
IBM,125.73,126.0,1.0535,126.69,125.27,-0.4986,51479,0,1.87
NVDA,271.19,269.52,0.644,271.83,267.2301,0.0553,422025,3,0.86
AAPL,165.02,165.05,0.7882,166.45,164.5,-0.9781,878262,0,-1.85
MSFT,285.76,285.01,0.5756,286.26,283.0608,-0.1223,443707,2,-2.57
META,212.89,210.21,0.5292,213.41,209.76,-0.0845,512985,4,-1.82
AMZN,106.96,106.1,1.2806,108.15,105.08,3.0344,588928,7,-0.26
AMD,88.43,89.8,0.6306,89.72,88.055,-1.8644,456922,0,-0.17
CVNA,8.14,7.97,0.2397,8.29,7.735,1.75,23240,0,0.73
TSLA,165.08,164.8,0.7409,166.0,161.33,1.2823,892727,0,1.13
GOOGL,105.41,105.47,0.5543,106.0,104.79,0.114,160605,3,-1.92
SONY,92.05,91.87,0.7484,92.38,91.61,0.7332,2083,-6,0.0
ENPH,223.61,223.75,0.5057,226.77,219.9,-0.5249,37486,-1,2.04
SOFI,5.94,5.9,0.4494,5.99,5.85,0.3378,91955,0,0.23
NOC,471.99,475.72,0.6011,474.875,468.84,-0.4618,8043,0,7.14
AMC,4.99,4.94,0.3518,5.07,4.91,0.4024,413110,-4,0.94
