percentchange,low,high,open,symbol,relvolume,price,watchers,hourchange,sentiment
-0.6,4.865,5.16,5.11,AMC,0.5325,4.97,412468,-3,0.69
0.989,161.271,162.47,161.53,AAPL,0.5827,162.36,876774,1,4.72
1.262,281.5,284.46,284.23,MSFT,0.6427,284.05,442606,1,-0.14
1.2126,202.85,208.09,203.38,META,0.6432,207.84,512303,-3,5.8
0.6472,203.96,214.19,209.435,ENPH,0.6629,205.27,37321,1,-2.39
-0.302,127.65,130.12,129.95,JPM,0.7826,128.75,82477,0,1.48
-0.4931,99.78,101.155,100.91,GOOGL,0.6807,100.89,159894,0,2.76
-0.5217,5.62,5.93,5.87,SOFI,0.6344,5.72,91771,1,-1.7
1.8084,31.81,32.58,31.85,INTC,1.4198,32.09,131059,0,3.85
1.7456,101.01,103.04,101.55,AMZN,0.6777,102.0,587428,0,2.88
1.8628,97.25,99.53,98.0,AMD,0.8812,97.88,456364,0,-2.46
-0.1278,458.5,462.92,460.46,NOC,0.3938,460.98,8023,0,0.0
-0.3778,129.1,131.48,130.16,IBM,0.5487,129.22,51343,0,6.76
-0.0755,118.85,120.05,120.0,EA,0.5217,119.1,20710,0,5.56
12.1982,8.0748,9.0,8.08,CVNA,0.5721,8.83,23362,0,-4.44
0.7221,194.42,197.328,195.58,TSLA,0.6092,195.28,889764,9,4.2
1.4787,271.02,274.99,272.29,NVDA,0.6652,273.83,420573,0,2.08
1.6388,88.555,89.53,88.7,SONY,1.4544,89.31,2082,0,0.0
