symbol,price,percentchange,low,open,relvolume,high,watchers,hourchange,sentiment
IBM,131.6,-0.3483,130.89,131.99,0.5043,132.1499,51358,0,0.0
SONY,91.01,-0.3504,90.36,90.78,0.9783,91.145,2087,0,0.0
SOFI,5.89,-2.3217,5.835,6.1,0.4678,6.095,91854,0,-0.56
INTC,33.1,0.6385,32.85,32.85,1.059,33.84,131184,2,2.41
JPM,128.42,-1.3368,127.41,130.5,0.702,130.59,82528,2,7.86
AAPL,165.63,-0.325,165.11,166.595,0.5431,166.83,877176,0,1.42
MSFT,287.18,-0.0174,285.67,287.23,0.6652,290.4499,442887,0,-0.36
NOC,468.1,-0.2323,465.0,468.73,0.3915,471.94,8034,0,0.0
AMZN,103.95,1.5038,102.11,102.75,0.6103,104.2,587802,4,2.28
GOOGL,104.72,0.345,104.04,104.33,0.5141,105.58,160050,4,3.96
NVDA,274.53,-1.8309,273.08,279.66,0.686,280.0,420951,11,0.52
AMC,3.91,-23.4834,3.88,4.08,2.4701,4.45,412843,4,-5.39
EA,125.24,3.2056,121.23,121.43,1.0756,125.47,20707,1,0.0
CVNA,9.5,2.2605,8.93,9.44,0.3434,9.72,23343,2,-2.4
META,214.72,0.7744,212.54,213.39,0.5769,216.24,512522,3,4.64
TSLA,192.58,-1.1244,190.32,197.32,0.711,198.7446,890499,0,0.4
AMD,95.87,-0.7146,95.21,97.038,0.6455,97.27,456543,1,-2.02
ENPH,202.54,-0.0296,198.65,202.89,0.4624,203.2,37368,-1,0.49
