symbol,price,high,low,percentchange,relvolume,open,watchers,hourchange,sentiment
AAPL,166.47,167.41,165.65,0.7505,0.6295,166.1,878094,4,3.69
GOOGL,104.5,106.515,104.07,-1.3872,0.5757,106.49,160554,-1,-2.31
TSLA,184.31,187.69,183.5887,-1.4596,0.5393,187.15,891794,-4,-0.73
CVNA,8.8,9.285,8.76,-2.8698,0.2683,9.22,23296,-4,-3.81
META,217.89,220.44,216.215,-0.4432,0.3488,219.91,512948,4,1.03
MSFT,288.37,291.6,287.02,-0.1489,0.5165,291.57,443619,-3,4.81
JPM,141.4,141.78,139.03,1.1228,0.8356,140.27,82989,1,-0.52
ENPH,227.87,231.31,222.23,1.3116,0.8254,225.43,37486,0,-1.73
NOC,479.47,483.4,475.74,0.9857,0.6483,475.74,8043,0,-11.11
AMZN,102.3,104.2,101.52,-0.4283,0.555,103.95,588659,2,1.45
EA,129.04,129.38,127.82,0.7495,0.5166,128.81,20704,0,0.0
IBM,127.78,128.68,127.35,-0.0313,0.4769,128.14,51379,-2,-0.62
SOFI,5.98,6.02,5.895,0.3356,0.4567,6.0,91920,2,-0.98
AMC,5.05,5.212,4.98,-2.8846,0.3403,5.23,413184,-2,-1.88
INTC,31.83,32.46,31.785,-0.9645,0.4755,32.43,131278,0,0.18
NVDA,276.67,281.0802,273.57,2.4628,1.1798,275.335,421845,-11,0.09
AMD,89.78,92.16,89.33,-0.1001,0.6994,91.61,456869,-2,2.78
SONY,91.31,91.86,90.99,0.1755,0.8545,91.57,2087,1,0.0
