symbol,relvolume,percentchange,price,low,high,open,watchers,hourchange,sentiment
NOC,0.3155,0.8435,472.22,466.03,474.7299,467.43,8038,-1,0.0
MSFT,0.591,0.5834,284.48,281.96,287.01,284.79,443288,5,-1.4
NVDA,0.721,-2.0317,266.17,265.17,274.63,273.7,421415,3,4.54
META,0.465,0.6201,215.1761,212.584,216.84,214.835,512748,-4,-1.46
ENPH,0.3545,0.4315,197.7296,196.78,201.26,199.9,37404,0,1.84
TSLA,0.7632,-2.6491,181.8418,181.1,191.58,190.74,891202,-3,0.82
AAPL,0.5247,-0.056,160.71,160.265,162.06,161.22,877675,0,1.49
JPM,0.5342,0.249,128.84,128.0603,130.43,129.18,82616,-5,4.11
IBM,0.4286,-1.3035,128.72,128.62,130.87,130.4,51367,-2,-1.59
EA,0.2774,0.6365,126.48,125.82,127.1812,126.28,20701,-1,-29.17
GOOGL,0.4127,-0.4936,104.83,104.34,106.75,106.58,160344,0,-0.37
AMZN,0.6366,-1.371,98.5501,98.28,100.51,100.4,588243,0,-2.57
AMD,0.7188,-1.5686,92.555,91.74,94.995,94.97,456742,1,5.31
SONY,0.3308,0.7761,89.6,89.37,90.4,90.0,2089,0,0.0
INTC,0.4406,-0.8037,32.09,31.96,32.89,32.77,131237,0,-3.12
CVNA,0.5276,-5.0205,9.27,8.79,10.32,9.79,23331,0,7.45
SOFI,0.8422,-1.7588,5.865,5.67,6.05,6.06,91920,2,1.13
AMC,0.6341,2.3941,5.56,5.51,5.74,5.62,413215,8,1.13
