high,percentchange,symbol,relvolume,price,low,open,watchers,hourchange,sentiment
477.68,0.2497,NOC,0.3118,473.75,471.38,472.99,8040,0,8.33
291.58,0.4998,MSFT,0.5079,287.57,286.2,289.93,443539,1,1.32
269.225,0.0448,NVDA,0.4727,267.7,264.36,265.655,421723,6,-0.68
229.23,7.0704,ENPH,1.3777,223.67,214.7801,215.0,37460,0,4.11
220.979,-1.201,META,0.3576,218.83,217.13,219.79,512898,2,0.25
189.69,0.3946,TSLA,0.5757,185.73,182.7,186.32,891624,4,0.75
165.39,-0.345,AAPL,0.4339,164.64,164.03,165.09,877998,10,1.2
140.06,0.4361,JPM,0.8219,139.335,137.66,139.95,82968,2,0.7
128.38,0.391,EA,0.3122,128.37,127.14,127.37,20706,0,-10.0
128.72,-0.6633,IBM,0.376,127.29,126.8,128.3,51377,0,-3.45
106.0,-2.7386,GOOGL,0.7129,105.8885,104.52,104.658,160510,7,-11.18
103.73,-0.1707,AMZN,0.4479,102.335,101.59,103.16,588603,7,-1.74
91.12,0.2641,SONY,0.6976,91.1,90.35,90.55,2088,0,0.0
90.69,-2.6267,AMD,0.5975,89.34,88.3,90.23,456840,7,-1.93
32.64,0.2872,INTC,0.3929,31.9816,31.77,31.95,131266,2,3.52
9.2192,-1.4493,CVNA,0.2127,8.84,8.68,8.91,23313,-3,-0.75
5.96,0.0845,SOFI,0.5536,5.925,5.81,5.89,91911,-6,0.1
5.3,1.2695,AMC,0.3011,5.185,5.1301,5.24,413210,-1,-1.04
