percentchange,high,low,symbol,price,open,relvolume,watchers,hourchange,sentiment
1.2759,452.31,445.005,NOC,449.26,445.27,0.4475,8003,1,9.09
2.1531,4.38,4.14,AMC,4.27,4.25,0.4546,411725,-8,-0.53
1.7321,186.44,176.35,TSLA,183.25,178.08,0.6925,888857,-1,-0.29
1.5484,157.81,154.15,AAPL,157.4,155.07,0.8489,876025,7,-0.31
-0.3936,101.75,99.88,GOOGL,101.22,100.12,0.7301,159582,0,-0.42
2.196,89.16,87.33,SONY,88.42,87.52,1.1668,2079,0,0.0
4.8301,196.88,185.2,ENPH,192.51,189.59,1.1646,37209,3,1.18
-2.1805,29.9,28.63,INTC,29.16,29.8,0.7742,130821,0,-0.56
1.8191,126.1508,124.19,IBM,125.94,124.31,0.7973,51327,2,1.06
-4.3956,5.54,5.19,SOFI,5.22,5.47,0.8466,91578,-4,1.06
0.6803,260.24,251.3,NVDA,259.0,256.15,0.819,419428,4,1.0
0.15,114.28,113.01,EA,113.52,113.01,0.5323,20730,0,33.33
1.1247,199.36,193.64,META,197.81,198.48,0.723,511733,-2,0.68
-7.5817,7.82,6.87,CVNA,7.07,7.43,0.3366,23279,0,-1.45
-2.5767,277.48,269.85,MSFT,272.23,276.98,1.2161,441940,4,0.1
-1.0527,96.94,92.9,AMD,96.81,96.3,1.5349,455937,-2,-0.78
-1.2532,98.48,95.7,AMZN,97.71,98.41,0.7742,586757,1,0.97
1.0571,129.47,126.01,JPM,127.14,126.99,1.609,82211,5,0.42
