symbol,high,open,low,price,percentchange,relvolume,watchers,hourchange,sentiment
AMZN,108.15,106.1,105.08,106.95,3.0248,1.2806,588924,4,1.05
AMD,89.72,89.8,88.055,88.4,-1.8977,0.6306,456942,-1,2.24
AAPL,166.45,165.05,164.5,164.99,-0.9961,0.7882,15,0,-1.49
TSLA,166.0,164.8,161.33,165.01,1.2393,0.7409,892732,8,0.93
SONY,92.38,91.87,91.61,92.06,0.7441,0.7484,2089,0,0.0
CVNA,8.29,7.97,7.735,8.145,1.8125,0.2397,23257,0,-3.02
GOOGL,106.0,105.47,104.79,105.42,0.1235,0.5543,160605,3,0.21
ENPH,226.77,223.75,219.9,223.6,-0.5294,0.5057,37487,1,2.78
SOFI,5.99,5.9,5.85,5.945,0.4223,0.4494,91960,0,-0.12
NOC,474.875,475.72,468.84,471.895,-0.4819,0.6011,8044,0,1.43
AMC,5.07,4.94,4.91,4.965,-0.1006,0.3518,413184,-1,-0.18
INTC,30.79,30.84,30.225,30.309,-1.7855,0.5032,131284,0,-0.42
JPM,141.11,139.74,138.78,140.59,-0.1562,0.6957,82974,0,-2.83
EA,130.12,129.05,128.695,129.09,0.2252,0.504,20702,-1,10.0
IBM,126.69,126.0,125.27,125.73,-0.4986,1.0535,51487,-3,0.74
MSFT,286.26,285.01,283.0608,285.7,-0.1433,0.5756,443718,4,-1.27
META,213.41,210.21,209.76,212.87,-0.0939,0.5292,513002,2,-0.15
NVDA,271.83,269.52,267.2301,271.26,0.0812,0.644,422037,-4,1.72
