high,price,open,symbol,relvolume,low,percentchange,watchers,hourchange,sentiment
7.9,7.56,7.21,CVNA,0.4207,7.02,2.0243,23307,0,0.95
124.52,123.66,124.08,IBM,2.0994,122.935,-0.834,51322,0,6.08
98.75,97.76,96.66,AMD,1.4973,95.94,1.2008,455814,0,1.38
186.21,180.02,184.515,TSLA,0.6722,177.33,-2.2321,888615,10,2.68
128.45,125.785,128.38,JPM,2.2173,125.46,-3.7973,82027,0,4.98
201.9,195.76,200.56,META,1.116,195.4304,-4.4747,511604,0,-0.47
283.33,279.17,278.26,MSFT,1.7577,276.3201,1.0753,441729,6,0.25
4.34,4.1635,4.3,AMC,0.6185,4.108,-5.1595,411733,7,0.06
100.65,98.9,99.79,AMZN,0.8764,97.455,-1.1395,586541,7,2.83
5.54,5.455,5.47,SOFI,0.6642,5.33,0.0917,91544,3,5.24
451.41,443.72,449.81,NOC,0.8804,441.305,-1.4284,7997,1,1.11
114.0,113.33,113.65,EA,0.7406,112.98,-0.1762,20736,0,-25.0
102.835,101.56,100.26,GOOGL,1.2376,100.1,1.236,159508,8,1.8
30.56,29.8,29.92,INTC,1.0943,29.44,-1.2591,130790,-1,-3.05
156.74,154.99,156.08,AAPL,0.9896,154.28,-0.5518,875791,15,5.25
200.7,183.57,200.7,ENPH,1.684,181.55,-8.7171,37095,9,-3.83
87.445,86.52,87.25,SONY,1.0052,86.19,0.1505,2077,0,33.33
263.99,257.23,259.82,NVDA,1.3828,256.68,0.7126,419172,3,4.19
