open,percentchange,low,relvolume,symbol,price,high,watchers,hourchange,sentiment
129.18,-0.0156,128.0603,0.66,JPM,128.5,130.43,82616,-2,0.59
214.835,0.0701,212.584,0.5478,META,214.0,216.84,512757,0,-1.25
273.7,-2.4808,264.4786,0.8408,NVDA,264.95,274.63,421429,6,1.72
190.74,-3.346,180.31,0.8639,TSLA,180.54,191.58,891210,0,-0.13
106.58,-0.6739,104.34,0.5099,GOOGL,104.64,106.75,160339,0,-0.19
199.9,-0.4317,195.81,0.4414,ENPH,196.03,201.26,37409,3,1.68
100.4,-2.0917,97.705,0.7773,AMZN,97.83,100.51,588254,5,-1.25
32.77,-1.0201,31.96,0.5877,INTC,32.02,32.89,131234,0,-5.31
6.06,-2.5126,5.67,0.9555,SOFI,5.82,6.05,91919,0,-0.21
130.4,-1.4415,128.18,0.6074,IBM,128.54,130.87,51367,0,-2.42
126.28,0.3581,125.82,0.4105,EA,126.13,127.1812,20702,1,-16.67
467.43,0.961,466.03,0.4255,NOC,472.77,474.7299,8038,0,0.0
94.97,-1.8079,91.74,0.8136,AMD,92.33,94.995,456746,3,6.03
284.79,0.2334,281.96,0.7301,MSFT,283.49,287.01,443294,2,-1.73
161.22,-0.4353,159.78,0.6508,AAPL,160.1,162.06,877677,-3,0.8
9.79,-5.3279,8.79,0.5844,CVNA,9.24,10.32,23330,3,7.13
5.62,-1.6575,5.34,0.827,AMC,5.34,5.74,413211,-8,0.52
90.0,0.5961,89.29,0.4882,SONY,89.44,90.4,2089,0,0.0
