percentchange,high,open,price,low,relvolume,symbol,watchers,hourchange,sentiment
-0.5022,452.4,450.22,447.72,446.65,0.3698,NOC,8008,2,-27.27
1.2967,281.04,273.4,277.33,272.63,0.709,MSFT,442073,5,3.01
3.8856,275.89,264.25,272.17,262.37,1.2287,NVDA,419748,15,2.51
-0.1782,211.22,209.65,207.26,204.61,0.57,ENPH,37243,2,-0.12
0.9102,207.37,202.5,204.0,201.84,0.6101,META,511866,9,2.95
-0.4606,200.66,199.3,196.67,194.5901,0.6379,TSLA,889091,6,-0.23
0.7408,162.14,159.3,160.46,159.118,0.6416,AAPL,876224,3,3.58
-0.8656,130.655,130.56,129.42,128.84,0.8183,JPM,82272,3,1.25
-0.5452,127.215,127.0,125.88,125.68,0.3504,IBM,51323,-1,13.04
-0.5916,115.1,114.29,114.26,113.83,0.5879,EA,20724,-2,25.0
0.4146,106.59,104.27,105.355,103.67,0.7937,GOOGL,159658,4,-4.34
-0.169,102.1,100.45,100.44,99.35,0.5465,AMZN,586914,8,0.91
4.3052,101.7,95.65,100.06,95.645,1.4439,AMD,456033,13,-1.83
-0.856,89.0699,88.91,88.605,87.8087,0.6934,SONY,2081,0,0.0
0.7203,29.12,28.48,28.665,28.31,0.488,INTC,130860,1,-2.07
12.3581,10.25,10.15,8.91,8.46,1.6407,CVNA,23487,7,9.5
3.1418,6.03,5.79,5.745,5.66,1.2737,SOFI,91649,3,2.97
3.1723,4.73,4.73,4.5499,4.47,0.7119,AMC,411920,-3,4.45
