low,high,percentchange,relvolume,symbol,price,open,watchers,hourchange,sentiment
138.78,141.11,-0.1917,0.6957,JPM,140.54,139.74,82969,0,-3.66
30.225,30.79,-1.8146,0.5032,INTC,30.3,30.84,131265,0,0.27
128.695,130.12,0.2407,0.504,EA,129.11,129.05,20700,0,25.0
125.27,126.69,-0.4986,1.0535,IBM,125.73,126.0,51479,0,1.87
267.2301,271.83,0.0553,0.644,NVDA,271.19,269.52,422022,0,1.01
164.5,166.45,-0.9781,0.7882,AAPL,165.02,165.05,878262,3,-1.71
283.0608,286.26,-0.1223,0.5756,MSFT,285.76,285.01,443705,0,-2.57
209.76,213.41,-0.0845,0.5292,META,212.89,210.21,512981,0,-1.62
105.08,108.15,3.0344,1.2806,AMZN,106.96,106.1,588921,-15,0.01
88.055,89.72,-1.8644,0.6306,AMD,88.43,89.8,456922,2,0.04
7.735,8.29,1.75,0.2397,CVNA,8.14,7.97,23240,0,-0.51
161.33,166.0,1.2823,0.7409,TSLA,165.08,164.8,892727,4,1.11
104.79,106.0,0.114,0.5543,GOOGL,105.41,105.47,160602,0,-1.75
91.61,92.38,0.7332,0.7484,SONY,92.05,91.87,2089,0,0.0
219.9,226.77,-0.5249,0.5057,ENPH,223.61,223.75,37487,0,2.0
5.85,5.99,0.3378,0.4494,SOFI,5.94,5.9,91955,0,0.06
468.84,474.875,-0.4618,0.6011,NOC,471.99,475.72,8043,0,7.14
4.91,5.07,0.4024,0.3518,AMC,4.99,4.94,413114,0,0.84
