percentchange,symbol,open,high,low,price,relvolume,watchers,hourchange,sentiment
-2.6637,GOOGL,104.658,106.155,104.52,105.97,0.816,160520,6,-12.33
-0.2497,IBM,128.3,128.72,126.8,127.82,0.5124,51378,0,-4.47
1.1027,TSLA,186.32,189.69,182.7,187.04,0.6825,891654,9,0.22
0.7839,INTC,31.95,32.64,31.77,32.14,0.5168,131269,0,3.6
0.4698,NOC,472.99,477.68,471.38,474.79,0.4391,8041,0,8.33
0.3192,SONY,90.55,91.23,90.35,91.15,0.9083,2088,0,0.0
0.9296,MSFT,289.93,291.58,286.2,288.8,0.6118,443546,7,2.75
0.2244,AMZN,103.16,103.73,101.59,102.74,0.5299,588608,5,-0.47
0.1642,EA,127.37,128.42,127.14,128.08,0.4493,20707,0,-10.0
7.6687,ENPH,215.0,229.23,214.7801,224.92,1.7249,37473,6,3.43
0.9119,NVDA,265.655,270.06,264.36,270.02,0.5878,421731,3,-1.49
0.7929,JPM,139.95,140.06,137.66,139.83,1.0164,82973,2,0.7
0.6757,SOFI,5.89,6.0,5.81,5.96,0.6655,91919,7,0.1
-2.049,AMD,90.23,90.69,88.3,89.87,0.7217,456847,3,-2.66
1.0033,CVNA,8.91,9.2192,8.68,9.06,0.273,23310,-4,-1.46
1.5625,AMC,5.24,5.3,5.1301,5.2,0.3666,413206,-2,-1.09
0.0121,AAPL,165.09,165.39,164.03,165.23,0.5412,878000,-2,2.07
-1.1874,META,219.79,220.979,217.13,218.86,0.4402,512920,20,0.43
