symbol,price,percentchange,high,low,relvolume,open,watchers,hourchange,sentiment
AMD,95.48,3.2551,95.79,91.02,0.7903,91.32,456696,2,8.89
SOFI,5.91,2.7826,5.92,5.66,0.5343,5.69,91907,0,1.07
NVDA,275.79,2.0047,276.2099,266.69,0.7128,268.23,421316,5,2.28
JPM,127.89,0.3295,128.23,126.22,0.5624,126.54,82591,2,-2.49
AAPL,162.03,-1.5972,162.03,160.08,0.6369,161.42,877529,6,-3.75
META,214.75,-0.6247,215.66,210.66,0.4571,214.71,512690,4,-1.44
SONY,88.51,0.3856,88.52,87.73,0.4657,87.76,2088,0,0.0
GOOGL,106.44,-1.8262,107.59,105.12,0.6059,106.98,160299,0,0.22
INTC,32.52,-0.8839,32.76,32.2,0.4854,32.6,131211,1,-0.81
IBM,131.03,0.4061,131.08,129.24,0.3796,129.83,51364,-2,-1.68
TSLA,184.51,-0.2972,185.0994,176.11,0.8207,179.94,891043,8,-0.18
EA,125.62,0.3675,125.8,123.74,0.3892,124.79,20703,0,4.44
MSFT,289.39,-0.7579,289.6,284.72,0.6369,289.208,443164,3,-1.38
CVNA,9.31,3.3296,9.35,8.62,0.3262,9.0,23315,-1,3.35
AMZN,102.17,0.1078,102.2,99.57,0.5167,100.96,588098,7,-0.6
AMC,5.24,6.9388,5.37,4.74,1.2692,4.77,413138,-1,0.6
ENPH,195.8,2.5131,195.9,188.51,0.4136,189.09,37407,4,-1.76
NOC,476.54,1.3074,478.17,470.98,0.4565,470.98,8041,0,-16.67
