high,percentchange,relvolume,open,low,symbol,price,watchers,hourchange,sentiment
452.4,-0.5434,0.4281,450.22,445.11,NOC,447.535,8008,0,-27.27
281.04,1.4428,0.8064,273.4,272.63,MSFT,277.73,442095,22,2.44
275.89,4.1223,1.3813,264.25,262.37,NVDA,272.79,419766,18,2.32
211.22,-0.1373,0.6648,209.65,204.61,ENPH,207.345,37243,0,-0.05
207.37,1.2762,0.7047,202.5,201.84,META,204.74,511868,2,2.94
200.66,-0.5719,0.7146,199.3,193.82,TSLA,196.45,889104,13,-0.29
162.14,0.8289,0.7424,159.3,159.02,AAPL,160.6003,876231,7,2.85
130.655,-1.0954,0.951,130.56,128.31,JPM,129.12,82271,-1,0.74
127.215,-0.5689,0.4255,127.0,125.2,IBM,125.85,51323,0,8.33
115.1,-0.4524,0.6463,114.29,113.55,EA,114.42,20724,0,25.0
106.59,0.7244,0.8966,104.27,103.67,GOOGL,105.68,159661,3,-5.2
102.1,0.5069,0.637,100.45,99.35,AMZN,101.12,586914,0,0.51
101.7,4.8629,1.6141,95.65,95.645,AMD,100.595,456040,7,-2.18
89.0699,-0.9567,0.7735,88.91,87.8087,SONY,88.515,2081,0,0.0
29.12,1.1771,0.5652,28.48,28.31,INTC,28.795,130861,1,-2.98
10.25,10.971,1.6991,10.15,8.46,CVNA,8.8,23490,3,9.07
6.03,2.8564,1.399,5.79,5.66,SOFI,5.7291,91658,9,2.19
4.73,2.2676,0.7571,4.73,4.47,AMC,4.51,411916,-4,4.3
