high,open,percentchange,price,low,symbol,relvolume,watchers,hourchange,sentiment
5.83,5.675,-0.692,5.74,5.645,SOFI,0.4643,91704,0,-0.3
207.574,205.18,0.8469,206.01,203.55,META,0.7884,512048,1,3.14
98.295,98.065,-0.5876,98.13,96.4,AMZN,0.6949,587048,4,-1.3
29.81,29.04,1.1368,29.36,28.93,INTC,1.0801,130869,0,-2.08
192.36,191.65,-0.9416,190.41,187.15,TSLA,0.6231,889274,-5,-1.16
105.49,104.99,-0.1515,105.44,103.84,GOOGL,0.6651,159720,1,-3.23
88.3,88.3,-0.8383,87.53,86.96,SONY,1.3895,2082,0,0.0
125.68,125.63,-1.5216,124.91,123.11,JPM,1.496,82371,0,0.57
271.67,270.31,-1.5152,267.79,263.55,NVDA,0.8619,420196,4,-1.07
203.55,202.35,-4.2363,195.99,192.46,ENPH,0.8771,37275,-1,4.14
456.2,445.08,2.4323,455.25,443.105,NOC,0.7919,8012,-1,-10.23
280.63,277.24,1.048,280.57,275.3,MSFT,0.7429,442252,5,0.18
160.34,158.86,0.8306,160.25,157.85,AAPL,0.6983,876400,4,-1.14
8.47,8.18,-1.9162,8.19,7.95,CVNA,0.2716,23417,-3,-0.7
99.52,99.18,-2.3235,97.95,96.74,AMD,1.0179,456181,-1,-2.55
125.4,123.36,1.5563,125.29,122.88,IBM,0.6283,51327,0,-2.69
119.205,118.08,2.5767,119.03,117.61,EA,0.8715,20720,0,0.0
4.54,4.4,0.0,4.47,4.38,AMC,0.283,411928,2,0.06
