relvolume,low,percentchange,high,symbol,open,price,watchers,hourchange,sentiment
0.4201,31.69,-0.747,32.235,INTC,32.0,31.89,131240,0,-1.8
0.6398,5.77,1.0239,6.03,SOFI,5.99,5.92,91899,0,-0.69
0.9005,4.9,-6.2271,5.75,AMC,5.74,5.12,413215,1,-0.34
0.5911,90.5,-0.3692,92.97,AMD,91.82,91.75,456770,2,-0.1
0.3372,468.765,-0.3353,473.09,NOC,470.55,472.57,8040,-1,13.33
0.3345,8.68,-4.2689,9.798,CVNA,9.47,8.97,23324,-4,-2.06
0.7461,262.2,1.1148,268.83,NVDA,265.04,267.58,421595,5,-1.17
0.5743,283.69,-1.2766,288.48,MSFT,287.0,286.14,443399,3,-0.53
0.6373,127.31,0.1876,129.84,IBM,128.46,128.14,51370,0,-6.94
0.7199,101.11,0.1074,103.2013,AMZN,102.07,102.51,588470,2,0.81
0.6378,217.56,0.5174,222.11,META,217.88,221.49,512854,4,0.74
3.0765,134.9001,7.551,139.12,JPM,135.15,138.73,82932,2,6.75
0.566,106.88,1.3404,108.935,GOOGL,106.89,108.87,160400,-4,-1.51
0.6406,163.83,-0.2114,166.32,AAPL,164.59,165.21,877855,3,1.39
0.4028,127.45,-0.3196,128.53,EA,127.98,127.87,20705,0,10.0
0.6939,204.67,-0.3767,214.57,ENPH,209.77,208.9,37422,-1,-3.12
0.5598,182.01,-0.4841,186.28,TSLA,183.95,185.0,891426,-1,0.26
0.8867,90.412,0.4089,91.46,SONY,90.85,90.86,2088,0,0.0
