low,high,open,price,relvolume,symbol,percentchange,watchers,hourchange,sentiment
5.86,6.02,5.91,5.97,0.662,SOFI,1.0152,91911,-1,2.72
271.26,277.89,277.235,271.69,0.5674,NVDA,-1.4866,421370,7,1.17
185.65,189.19,186.69,186.79,0.6665,TSLA,1.2357,891135,14,0.49
213.43,216.02,215.48,213.85,0.4677,META,-0.4191,512721,1,-3.01
160.51,162.36,162.35,160.8,0.6091,AAPL,-0.7591,877596,11,-3.9
99.01,100.99,100.8,99.92,0.8239,AMZN,-2.2022,588171,5,-5.7
467.525,476.01,476.12,468.27,0.5013,NOC,-1.7354,8038,-1,13.33
127.54,128.935,128.3,128.52,0.6398,JPM,0.4926,82601,0,1.62
124.74,126.25,125.13,125.68,0.4521,EA,0.0478,20704,0,-13.64
9.6,10.8485,9.79,9.76,0.7987,CVNA,4.8335,23334,0,12.36
5.25,5.63,5.45,5.43,0.9069,AMC,3.626,413162,2,4.6
281.64,285.87,285.75,282.83,0.7591,MSFT,-2.2668,443228,6,-2.0
193.14,199.04,195.9,196.88,0.3554,ENPH,0.5516,37408,0,-0.55
130.18,131.1,130.58,130.42,0.4743,IBM,-0.4655,51365,0,-0.43
88.83,89.48,89.24,88.91,0.5067,SONY,0.4519,2089,0,0.0
32.32,33.11,32.66,32.35,0.4705,INTC,-0.5228,131220,-1,-9.79
92.7,96.065,96.06,94.03,0.7947,AMD,-1.5186,456721,4,3.18
104.68,106.73,106.55,105.35,0.583,GOOGL,-1.0241,160321,6,-0.26
