high,symbol,open,relvolume,percentchange,low,price,watchers,hourchange,sentiment
107.59,GOOGL,106.98,0.6059,-1.8262,105.12,106.44,160296,4,0.04
32.76,INTC,32.6,0.4854,-0.8991,32.2,32.515,131212,-4,-1.04
185.0994,TSLA,179.94,0.8207,-0.3593,176.11,184.395,891035,-1,-0.31
131.05,IBM,129.83,0.3796,0.4138,129.24,131.04,51366,-1,-1.68
9.35,CVNA,9.0,0.3262,3.4961,8.63,9.325,23318,-1,1.53
102.2,AMZN,100.96,0.5167,0.1127,99.57,102.175,588082,-4,-0.37
125.8,EA,124.79,0.3892,0.3436,123.74,125.59,20703,-1,8.08
289.6,MSFT,289.208,0.6369,-0.8573,284.72,289.1,443161,5,-1.38
5.37,AMC,4.77,1.2692,6.5306,4.74,5.22,413140,1,0.63
195.795,ENPH,189.09,0.4136,2.4869,188.51,195.75,37403,-2,-2.06
478.12,NOC,470.98,0.4565,1.2947,471.57,476.48,8041,0,-16.67
95.79,AMD,91.32,0.7903,3.2336,91.02,95.4601,456694,2,8.46
276.2099,NVDA,268.23,0.7128,1.9862,266.69,275.74,421304,3,2.31
5.92,SOFI,5.69,0.5343,2.8696,5.66,5.915,91906,2,0.76
215.66,META,214.71,0.4571,-0.625,210.66,214.7494,512686,-1,-0.53
128.22,JPM,126.54,0.5624,0.3413,126.22,127.905,82587,-1,-2.49
161.95,AAPL,162.43,0.6369,-1.6519,160.08,161.94,877520,1,-2.87
88.51,SONY,87.76,0.4657,0.3856,87.73,88.51,2087,0,0.0
