relvolume,symbol,low,price,open,high,percentchange,watchers,hourchange,sentiment
0.5141,NOC,442.08,442.3525,449.81,451.41,-1.7322,7996,0,1.39
1.3683,MSFT,276.3201,280.42,278.26,283.33,1.5279,441705,8,3.05
1.0724,NVDA,256.68,259.37,259.82,263.99,1.5504,419148,7,5.95
0.7199,META,197.91,198.17,200.56,201.9,-3.2987,511589,-8,2.04
1.2184,ENPH,181.55,184.875,200.7,200.7,-8.0681,37055,27,-3.1
0.5163,TSLA,177.33,180.32,184.515,186.21,-2.0692,888603,1,3.89
0.7493,AAPL,154.28,155.7423,156.08,156.74,-0.0691,875774,2,5.73
1.4579,JPM,125.66,126.275,128.38,128.45,-3.4226,82015,4,6.08
1.1307,IBM,122.935,123.61,124.08,124.2,-0.8741,51323,1,7.41
0.5002,EA,113.015,113.57,113.65,114.0,0.0352,20736,0,0.0
0.9429,GOOGL,100.1,101.78,100.26,102.835,1.4553,159496,3,2.61
0.6765,AMZN,97.455,99.01,99.79,100.65,-1.0296,586525,-9,2.72
1.1259,AMD,95.94,97.18,96.66,98.75,0.6004,455805,-4,3.2
0.5837,SONY,86.19,86.8074,87.25,87.445,0.4832,2077,0,33.33
0.7296,INTC,29.44,29.785,29.92,30.56,-1.3088,130791,2,0.65
0.3107,CVNA,7.02,7.725,7.21,7.9,4.251,23301,1,2.23
0.3958,SOFI,5.33,5.44,5.47,5.5,-0.1835,91541,-5,2.63
0.4035,AMC,4.108,4.26,4.3,4.34,-2.9613,411729,-6,0.3
