relvolume,high,symbol,low,open,percentchange,price,watchers,hourchange,sentiment
0.4882,90.4,SONY,89.29,90.0,0.5961,89.44,2089,0,0.0
0.66,130.43,JPM,128.0603,129.18,-0.0156,128.5,82620,4,-2.58
0.8639,191.58,TSLA,180.31,190.74,-3.346,180.54,891221,4,-0.24
0.8408,274.63,NVDA,264.4786,273.7,-2.4808,264.95,421433,4,0.6
0.5478,216.84,META,212.584,214.835,0.0701,214.0,512762,4,-1.37
0.4414,201.26,ENPH,195.81,199.9,-0.4317,196.03,37409,0,2.25
0.7773,100.51,AMZN,97.705,100.4,-2.0917,97.83,588268,10,-0.64
0.5099,106.75,GOOGL,104.34,106.58,-0.6739,104.64,160343,0,0.11
0.5877,32.89,INTC,31.96,32.77,-1.0201,32.02,131233,-1,-6.78
0.9555,6.05,SOFI,5.67,6.06,-2.5126,5.82,91917,-1,-0.5
0.4255,474.7299,NOC,466.03,467.43,0.961,472.77,8038,0,0.0
0.6074,130.87,IBM,128.18,130.4,-1.4415,128.54,51368,1,-2.42
0.7301,287.01,MSFT,281.96,284.79,0.2334,283.49,443297,3,-0.96
0.8136,94.995,AMD,91.74,94.97,-1.8079,92.33,456750,5,6.1
0.4105,127.1812,EA,125.82,126.28,0.3581,126.13,20702,0,-16.67
0.5844,10.32,CVNA,8.79,9.79,-5.3279,9.24,23329,-1,5.68
0.6508,162.06,AAPL,159.78,161.22,-0.4353,160.1,877684,0,0.61
0.827,5.74,AMC,5.34,5.62,-1.6575,5.34,413218,5,0.36
