relvolume,open,symbol,high,percentchange,low,price,watchers,hourchange,sentiment
0.4493,127.37,EA,128.42,0.1642,127.14,128.08,20706,0,-10.0
0.5878,265.655,NVDA,270.06,0.9119,264.36,270.02,421740,3,-1.27
0.273,8.91,CVNA,9.2192,1.0033,8.68,9.06,23312,1,-0.94
0.3666,5.24,AMC,5.3,1.5625,5.1301,5.2,413213,-1,-1.66
0.7217,90.23,AMD,90.69,-2.049,88.3,89.87,456852,2,-3.06
0.6655,5.89,SOFI,6.0,0.6757,5.81,5.96,91920,0,0.18
0.4402,219.79,META,220.979,-1.1874,217.13,218.86,512924,-1,0.31
1.0164,139.95,JPM,140.06,0.7929,137.66,139.83,82976,1,0.48
0.5412,165.09,AAPL,165.39,0.0121,164.03,165.23,878015,5,2.53
0.5124,128.3,IBM,128.72,-0.2497,126.8,127.82,51378,0,-5.04
0.6825,186.32,TSLA,189.69,1.1027,182.7,187.04,891674,8,0.35
0.4391,472.99,NOC,477.68,0.4698,471.38,474.79,8041,0,3.57
0.816,104.658,GOOGL,106.155,-2.6637,104.52,105.97,160537,5,-12.05
0.5168,31.95,INTC,32.64,0.7839,31.77,32.14,131274,0,4.41
0.9083,90.55,SONY,91.23,0.3192,90.35,91.15,2088,0,0.0
0.6118,289.93,MSFT,291.58,0.9296,286.2,288.8,443559,5,2.92
1.7249,215.0,ENPH,229.23,7.6687,214.7801,224.92,37477,1,3.52
0.5299,103.16,AMZN,103.73,0.2244,101.59,102.74,588619,6,-0.28
