low,percentchange,high,price,symbol,open,relvolume,watchers,hourchange,sentiment
127.14,0.1642,128.42,128.08,EA,127.37,0.4493,20703,-1,-10.0
264.36,0.9119,270.06,270.02,NVDA,265.655,0.5878,421747,0,-1.18
8.68,1.0033,9.2192,9.06,CVNA,8.91,0.273,23313,1,-1.03
5.1301,1.5625,5.3,5.2,AMC,5.24,0.3666,413211,0,-1.77
88.3,-2.049,90.69,89.87,AMD,90.23,0.7217,456854,2,-2.95
5.81,0.6757,6.0,5.96,SOFI,5.89,0.6655,91926,5,0.09
217.13,-1.1874,220.979,218.86,META,219.79,0.4402,512929,2,0.06
137.66,0.7929,140.06,139.83,JPM,139.95,1.0164,82978,0,0.6
164.03,0.0121,165.39,165.23,AAPL,165.09,0.5412,878021,6,2.85
126.8,-0.2497,128.72,127.82,IBM,128.3,0.5124,51377,0,-5.04
182.7,1.1027,189.69,187.04,TSLA,186.32,0.6825,891685,3,0.25
471.38,0.4698,477.68,474.79,NOC,472.99,0.4391,8041,0,6.35
104.52,-2.6637,106.155,105.97,GOOGL,104.658,0.816,160537,0,-11.87
31.77,0.7839,32.64,32.14,INTC,31.95,0.5168,131274,0,3.84
90.35,0.3192,91.23,91.15,SONY,90.55,0.9083,2088,0,0.0
286.2,0.9296,291.58,288.8,MSFT,289.93,0.6118,443566,3,2.26
214.7801,7.6687,229.23,224.92,ENPH,215.0,1.7249,37479,-2,3.56
101.59,0.2244,103.73,102.74,AMZN,103.16,0.5299,588626,4,0.06
