price,percentchange,low,symbol,high,open,relvolume,watchers,hourchange,sentiment
214.75,-0.6247,210.66,META,215.66,214.71,0.4571,512692,1,-1.48
125.62,0.3675,123.74,EA,125.8,124.79,0.3892,20703,0,4.44
32.52,-0.8839,32.2,INTC,32.76,32.6,0.4854,131214,2,-0.55
131.03,0.4061,129.24,IBM,131.08,129.83,0.3796,51363,-1,-1.29
9.31,3.3296,8.62,CVNA,9.35,9.0,0.3262,23316,1,4.22
289.39,-0.7579,284.72,MSFT,289.6,289.208,0.6369,443170,2,-1.35
184.51,-0.2972,176.11,TSLA,185.0994,179.94,0.8207,891057,5,-0.34
102.17,0.1078,99.57,AMZN,102.2,100.96,0.5167,588098,-2,-1.73
195.8,2.5131,188.51,ENPH,195.9,189.09,0.4136,37408,0,-1.95
5.24,6.9388,4.74,AMC,5.37,4.77,1.2692,413138,-1,1.63
476.54,1.3074,470.98,NOC,478.17,470.98,0.4565,8041,0,-16.67
95.48,3.2551,91.02,AMD,95.79,91.32,0.7903,456700,1,8.3
275.79,2.0047,266.69,NVDA,276.2099,268.23,0.7128,421321,5,1.67
5.91,2.7826,5.66,SOFI,5.92,5.69,0.5343,91903,-5,0.65
162.03,-1.5972,160.08,AAPL,162.03,161.42,0.6369,877532,0,-4.78
127.89,0.3295,126.22,JPM,128.23,126.54,0.5624,82597,2,-2.86
106.44,-1.8262,105.12,GOOGL,107.59,106.98,0.6059,160304,2,0.19
88.51,0.3856,87.73,SONY,88.52,87.76,0.4657,2088,0,0.0
