percentchange,low,relvolume,open,price,high,symbol,watchers,hourchange,sentiment
1.1806,128.8514,0.7219,129.66,130.27,130.3,JPM,82487,-1,-2.57
1.4897,129.42,0.5809,129.47,131.145,131.16,IBM,51346,0,0.0
1.4786,283.03,0.7248,283.73,288.25,288.81,MSFT,442654,1,2.66
1.5594,271.05,0.7758,271.4,278.1,278.34,NVDA,420627,2,5.8
0.1475,459.45,0.4159,462.98,461.66,463.4,NOC,8026,0,0.0
1.1419,118.985,0.6957,119.38,120.46,120.53,EA,20709,0,-7.14
1.5275,162.13,0.7363,162.44,164.84,165.0,AAPL,876831,7,5.26
0.189,95.27,0.8317,96.34,98.065,98.36,AMD,456390,-6,4.33
2.7604,101.05,0.6778,101.3,103.675,103.89,GOOGL,159928,0,5.16
1.2108,101.95,0.6381,102.16,103.235,103.42,AMZN,587477,0,2.26
2.0545,206.77,0.653,207.24,212.11,212.17,META,512341,0,5.44
6.2218,197.23,0.9318,197.53,207.43,207.79,TSLA,889859,11,8.6
2.4943,205.81,0.544,206.02,210.39,212.12,ENPH,37332,-2,-0.32
1.8074,31.74,1.0575,31.8,32.67,32.8998,INTC,131092,1,-0.19
1.5116,89.79,1.4706,89.77,90.66,90.92,SONY,2083,0,0.0
10.7022,8.77,0.475,8.9,9.775,9.78,CVNA,23361,3,2.58
6.2063,5.67,1.0566,5.75,6.075,6.17,SOFI,91781,0,0.95
0.503,4.87,0.4763,4.91,4.995,5.055,AMC,412473,0,-0.08
